,Agent Name,Agency Name,Website,Contact Method,Debut Authors,Generes,Previous Clients,Location
154,Matt McGowan,"Frances Goldin Literary Agency, Inc.",http://www.goldinlit.com//,Email,None,"Fiction, Humor, Literary Fiction, Nonfiction, Memoir, Narrative Nonfiction, Politics, Sports","Eula Biss, Stephen Burt, John D'Agata, Brian Evenson, Brandon Harris","New York City, US"
155,Elisabeth Weed,The Book Group,http://www.thebookgroup.com/,Email,☑️ Interested in debut authors,"Fiction, Commercial Fiction, Thriller, Women's Fiction","Stephanie Clifford, Charles Finch, Brendan Duffy, Dan Marshall, Susan Meissner","New York City, US"
156,Emily van Beek,Folio Literary Management,http://www.foliojr.com/,Email,☑️ Interested in debut authors,"Fiction, Fantasy, Young Adult, Children's Book, Middle Grade, Picture Book, Diverse Fiction","Jenny Han, Lois Lowry, Morgan Matson, Julie Morstad, Tamora Pierce, Jordan Scott","New York City, US"
157,Carol Mann,Carol Mann Agency,http://carolmannagency.com/,Email,None,"Nonfiction, Memoir, Narrative Nonfiction, Self-Help, Spirituality, Historical Fiction, Politics","Jermaine Dupri, Samantha Marshall, Lauren Winner, Morris Dees, Roy Rowan","New York, US"
158,Jane Dystel,"Dystel, Goderich & Bourret",https://www.dystel.com/,Email,☑️ Interested in debut authors,"Fiction, Commercial Fiction, Women's Fiction, Nonfiction, Memoir, Politics, Cookbook, Crime Fiction, Fantasy, Mystery, Romance, Self-Help, Sports, Thriller","Colin Broderick, David Morrell, Scott Hamilton, Michele R. McPhee, Anne Stuart, Mary Ann Esposito","New York City, US"
159,Margaret Connolly,Margaret Connolly Literary Agency,https://margaretconnolly.com/,Online submission form,None,"Fiction, Commercial Fiction, Literary Fiction, Nonfiction, Narrative Nonfiction, Children's Book","Les Murray, Kate Jennings, David Ireland, Rachael Treasure, Julie Vivas","Sydney, AU"
160,Anna Olswanger,Olswanger Literary LLC,http://www.olswanger.com/,Email,None,"Fiction, Graphic Novel, Children's Book, Picture Book","Vince Vawter, Michael Hall, Patricia Hruby Powell, Michelle Markel, Jennifer Sattler","New York, US"
161,Jonny Geller,Curtis Brown UK,https://www.curtisbrown.co.uk/,Email,None,"Fiction, Commercial Fiction, Fantasy, Historical Fiction, Literary Fiction, Mystery, Science Fiction, Thriller, Women's Fiction, Nonfiction, Memoir, Narrative Nonfiction, Politics","John le Carré, David Mitchell, Susanna Clarke, Sacha Baron Cohen, Nelson Mandela","London, GB"
162,Stephen Barbara,InkWell Management,http://inkwellmanagement.com/,Email,☑️ Interested in debut authors,"Fiction, Fantasy, Mystery, Science Fiction, Thriller, Young Adult, Nonfiction, Sports, Children's Book","Lauren Oliver, Paul Tremblay, Laura Amy Schlitz, Lisa Graff","New York City, US"
163,Nicole Aragi,Aragi Inc.,http://www.aragi.net,Email,None,"Fiction, Historical Fiction, Literary Fiction, Nonfiction, Narrative Nonfiction, Feminism","Jonathan Safran Foer, Nathan Englander, Edwidge Danticat, Colson Whitehead, Junot Diaz","New York, US"
164,Jodi Reamer,Writers House,http://www.writershouse.com/,Email,☑️ Interested in debut authors,"Fiction, Commercial Fiction, Fantasy, Mystery, Romance, Science Fiction, Thriller, Young Adult, Children's Book, Self-Help","Stephenie Meyer, John Green, Dan Santat, Ransom Riggs, Lisa Yee","New York City, US"
165,Uwe Stender,Triada US Literary Agency,http://www.triadaus.com/,Email,☑️ Interested in debut authors,"Fiction, Graphic Novel, Mystery, Thriller, Women's Fiction, Young Adult, Nonfiction, Cookbook, Memoir, Narrative Nonfiction, Politics, Self-Help, Sports, Children's Book, Middle Grade, Diverse Fiction, BIPOC, LGBTQ","Adiba Jaigirdar, Dana L. Davis, Elizabeth LaBan, Christi Paul, Jared Reck","Pittsburgh, US"
166,Lorin Rees,Rees Literary Agency,http://reesagency.com/,Email,None,"Fiction, Literary Fiction, Nonfiction, Business Book, Memoir, Narrative Nonfiction, Self-Help","Uzma Jalaluddin, Rin Chupeco, Arlene Weintraub, Will Holtham, Sylvia Lafair, Hank Gilman","Boston, US"
167,Helen Heller,The Helen Heller Agency,https://thehelenhelleragency.com/,Email,☑️ Interested in debut authors,"Fiction, Commercial Fiction, Literary Fiction, Historical Fiction, Thriller","Khaled Hosseini, Bruce Holsinger, Nora Murphy","Toronto, CA"
168,Richard Morris,Janklow & Nesbit Associates,http://www.janklowandnesbit.com/,Email,None,"Fiction, Literary Fiction, Nonfiction, Business Book, Narrative Nonfiction, Spirituality, Sports","Gore Vidal, Robert R. McCammon, Andrea Hiott, Novella Carpenter","New York, US"
169,Claire Anderson-Wheeler,Regal Hoffmann & Associates,http://rhaliterary.com/,Email,☑️ Interested in debut authors,"Fiction, Commercial Fiction, Fantasy, Historical Fiction, Literary Fiction, Science Fiction, Young Adult, Nonfiction, Memoir, Children's Book, Diverse Fiction, #ownvoices, BIPOC, Crime Fiction, Narrative Nonfiction, Politics","Dan Cluchey, Patrick Dacey, Eldonna Edwards, Faith Gardner, Samantha Mabry","New York City, US"
170,Christopher Schelling,Selectric Artists,http://selectricartists.com/,Email,☑️ Interested in debut authors,"Fiction, Commercial Fiction, Literary Fiction, Young Adult, Nonfiction, Memoir, Narrative Nonfiction, Children's Book, Fantasy, Humor, Middle Grade, Science Fiction, Thriller","Rainbow Rowell, Kate Mulgrew, Augusten Burroughs, Haven Kimmel, Robert Wilder","Hartford, US"
171,Elizabeth Winick Rubenstein,"McIntosh & Otis, Inc.",http://mcintoshandotis.com/,Email,None,"Fiction, Historical Fiction, Literary Fiction, Mystery, Romance, Thriller, Women's Fiction, Nonfiction, Memoir, Narrative Nonfiction, Politics, Feminism","Eleanor Brown, Phyllis T. Smith, Kimberly Frost","New York, US"
172,Danielle Egan-Miller,Browne & Miller Literary Associates,http://www.browneandmiller.com/,Email,None,"Fiction, Commercial Fiction, Crime Fiction, Historical Fiction, Mystery, Thriller, Women's Fiction, Nonfiction, Christian, Memoir, Narrative Nonfiction, Self-Help","Elizabeth Blackwell, Kylie Brant, Jo Furniss, Iain Lawrence, Kimberly Brock","Chicago, US"
173,Caryn Wiseman,Andrea Brown Literary Agency,https://www.andreabrownlit.com/,Online submission form,☑️ Interested in debut authors,"Fiction, Graphic Novel, Young Adult, Children's Book, Middle Grade, Picture Book, Diverse Fiction, BIPOC, LGBTQ","Kelly Starling Lyons, Tom Angleberger, Cece Bell, Debbie Levy","Chicago, US"
174,Ginger Clark,"Curtis Brown, Ltd.",https://curtisbrown.com/,Email,☑️ Interested in debut authors,"Fiction, Fantasy, Horror, Romance, Science Fiction, Young Adult, Children's Book, Middle Grade","Ursula K. Le Guin, Patricia Wrede, Elizabeth Wein, Tim Pratt, John Langan","New York City, US"
175,David Dunton,"Harvey Klinger, Inc.",https://www.harveyklinger.com/,Email,☑️ Interested in debut authors,"Fiction, Young Adult, Children's Book, Middle Grade, Diverse Fiction, Literary Fiction","Lori Culwell, Chris Carlton Brown, Alex McAulay","New York City, US"
176,Vicky Bijur,Vicky Bijur Literary Agency,http://www.vickybijuragency.com/,Email,None,"Fiction, Commercial Fiction, Literary Fiction, Women's Fiction","Laura Lippman, Lisa Genova, James Sallis, Christina Shea, Margaret Maron","New York, US"
177,Alice Williams,Alice Williams Literary Agency,https://www.alicewilliamsliterary.co.uk/,Email,☑️ Interested in debut authors,"Fiction, Young Adult, Children's Book, Middle Grade, Picture Book, Diverse Fiction, BIPOC, LGBTQ","Lara Hawthorne, Pete Williamson, Fabi Santiago, Rachel Delahaye, Paul Whitfield","London, GB"
178,Juliet Mushens,Mushens Entertainment,https://www.mushens-entertainment.com/,Email,☑️ Interested in debut authors,"Fiction, Commercial Fiction, Crime Fiction, Historical Fiction, Literary Fiction, Science Fiction, Thriller, Young Adult","Jessie Burton, Taran Matharu, Richard Osman, Ali Land, Claire Douglas","London, GB"
179,Kirby Kim,Janklow & Nesbit Associates,http://www.janklowandnesbit.com/,Email,None,"Fiction, Commercial Fiction, Fantasy, Humor, Literary Fiction, Mystery, Science Fiction, Thriller, Young Adult, Nonfiction, Narrative Nonfiction","Gina Apostol, Matt Bell, Ted Chiang, Malcolm Brooks, Karolina Waclawiak","New York, US"
180,Anne Hawkins,John Hawkins & Associates,http://www.jhalit.com/,Email,☑️ Interested in debut authors,"Fiction, Commercial Fiction, Historical Fiction, Literary Fiction, Mystery, Thriller, Women's Fiction, Nonfiction, Politics, Feminism","Tasha Alexander, Taylor Stevens, Miranda Beverly-Whittermore, William Kowalski","New York City, US"
181,Charlie Olsen,InkWell Management,http://inkwellmanagement.com/,Email,None,"Fiction, Graphic Novel, Nonfiction, Narrative Nonfiction, Children's Book, Picture Book","Matt Kindt, Jeff Lemire, Noelle Stevenson, Andrea Cremer, Amy Ewing, Gus Gordon, Heather Greene","New York, US"
182,Victoria Sanders,Victoria Sanders & Associates,http://www.victoriasanders.com,Email,☑️ Interested in debut authors,"Fiction, Chick Lit, Commercial Fiction, Graphic Novel, Historical Fiction, Humor, Literary Fiction, Mystery, Thriller, Women's Fiction, Nonfiction, Memoir, Spirituality, Diverse Fiction, African-American, Children's Book, Middle Grade, Young Adult","Terence Taylor, Carolina DeRobertis, Kia DuPree, Karin Slaughter, Matthew Aaron Goodman","New York City, US"
183,Joshua Getzler,HG Literary,http://www.hgliterary.com/,Online submission form,None,"Fiction, Historical Fiction, Mystery, Thriller, Women's Fiction, Nonfiction, Business Book, Politics, Children's Book, Middle Grade","Geoff Rodkey, Paul Goldberg, Todd Moss, EM Powell, Jessica Burkhart, Gerald Elias","New York, US"
184,Michael Carr,Veritas Literary,http://veritasliterary.com/,Email,None,"Fiction, Fantasy, Historical Fiction, Science Fiction, Women's Fiction, Nonfiction, Business Book, Memoir, Narrative Nonfiction, Self-Help, Spirituality, Sports","Daniel Arenson, K.E. Blaski, David Dalglish, Mila Koumpilova","San Francisco, US"
185,Kari Stuart,Curtis Brown UK,https://www.curtisbrown.co.uk/,Email,None,"Fiction, Mystery, Thriller, Nonfiction, Business Book, Cookbook, Memoir, Self-Help, Spirituality, Sports","Amy Ephron, Kevin Roose, Maura Kelly, Mimi Kirk, Laura Marshall, Carol Miller, Samin Nosrat","London, GB"
186,Theresa Park,Park & Fine Literary and Media,http://www.parkfine.com/,Email,None,"Fiction, Commercial Fiction, Literary Fiction, Nonfiction, Memoir, Narrative Nonfiction","Nicholas Sparks, Frances Cha, Deborah Harkness, Emily Giffin, Janice Lee, Robert Whitaker","New York, US"
187,Julie Barer,The Book Group,http://www.thebookgroup.com/,Email,None,"Fiction, Commercial Fiction, Historical Fiction, Literary Fiction, Women's Fiction, Diverse Fiction, BIPOC, LGBTQ","Celeste Ng, Madeline Miller, Alice Sebold, Mia Alvar, Joshua Ferris","New York, US"
188,Lisa Grubka,Fletcher & Company,http://www.fletcherandco.com/,Email,☑️ Interested in debut authors,"Fiction, Literary Fiction, Thriller, Women's Fiction, Young Adult, Nonfiction, Business Book, Cookbook, Sports","Robin Benway, Elizabeth Ames, Alex Snodgrass, Kathleen Barber","New York, US"
189,Carrie Pestritto,Laura Dail Literary Agency,http://www.ldlainc.com/,Online submission form,☑️ Interested in debut authors,"Fiction, Commercial Fiction, Historical Fiction, Mystery, Romance, Thriller, Women's Fiction, Young Adult, Nonfiction, Memoir, Children's Book, Middle Grade, Diverse Fiction, #ownvoices, BIPOC, LGBTQ","Kalyn Josephson, Jon Birger, Lily Chu, Graci Kim, Claire Kann","New York City, US"
190,Chris Ferebee,Christopher Ferebee,christopherferebee.com/,Email,None,"Nonfiction, Christian, Memoir, Spirituality","Cindy Beall, Christa Black Gifford, Rob Bell, Shauna Niequist, Jonathan Merritt","Los Angeles, US"
191,Frances Coady,Aragi Inc.,http://www.aragi.net/,Email,None,"Fiction, Historical Fiction, Literary Fiction, Nonfiction, Memoir, Narrative Nonfiction, Politics, Feminism","Ocean Vuong, Anna Cox, Gary Younge, Michael Cunningham, Sharon Olds","New York, US"
192,Jessica Sinsheimer,Context Literary Agency,https://www.contextlit.com/,Email,☑️ Interested in debut authors,"Fiction, Action & Adventure, Commercial Fiction, Crime Fiction, Fantasy, Graphic Novel, Historical Fiction, Horror, Humor, Literary Fiction, Mystery, New Adult, Romance, Science Fiction, Thriller, Women's Fiction, Young Adult, Nonfiction, Cookbook, Children's Book, Middle Grade, Diverse Fiction, BIPOC, LGBTQ","Margot Harrison, Shannon Alexander, Jonathan Chesner, Gwen Hayes","New York City, US"
193,Nancy Miles,Miles Stott Agency,https://milesstottagency.co.uk/,Email,☑️ Interested in debut authors,"Fiction, Young Adult, Nonfiction, Children's Book, Middle Grade, Picture Book","Frances Hardinge, Gill Lewis, Mark Burgess, Kirsty Applebaum","London, GB"
194,Jennie Dunham,Dunham Literary,https://www.dunhamlit.com/,Email,None,"Fiction, Historical Fiction, Literary Fiction, Women's Fiction, Young Adult, Children's Book, Middle Grade, Picture Book","Robert Sabuda, Matthew Reinhart, Mark Bowden, Tod Goldberg, Margaret McMullan","New York, US"
195,Zoe Pagnamenta,Zoe Pagnamenta Agency,http://www.zpagency.com/,Email,None,"Nonfiction, Business Book, Memoir, Narrative Nonfiction","Ravi Agrawal, Eduardo Porter, Ben Ratliff, Josh Kun","New York, US"
196,Joanne Wyckoff,Carol Mann Agency,http://carolmannagency.com/,Email,None,"Humor, Nonfiction, Memoir, Narrative Nonfiction, Spirituality, Sports, Diverse Fiction, African-American, Feminism","Lauretta Hannon, Tony Wagner, David Gessner, Patti Moreno","New York, US"
197,Simon Trewin,Simon Trewin Literary and Media Rights Agency,https://www.simontrewin.co.uk/,Email,None,"Fiction, Fantasy, Graphic Novel, Historical Fiction, Literary Fiction, Poetry, Thriller, Children's Book","Andrew Motion, John Boyne, Andrew Miller, Lalline Paul, Mackenzie Crook, Keith Lowe, Isabel Greenberg","London, GB"
198,Scott Miller,Trident Media Group,https://www.tridentmediagroup.com/,Email,None,"Fiction, Commercial Fiction, Crime Fiction, Fantasy, Graphic Novel, Horror, Literary Fiction, Mystery, Science Fiction, Thriller, Young Adult, Nonfiction, Memoir, Narrative Nonfiction, Children's Book, Middle Grade","Rebecca Forster, Sean Lynch, Sean Naylor, Jennifer Coburn","New York, US"
199,Scott Eagan,Greyhaus Literary Agency,http://www.greyhausagency.com,Email,None,"Fiction, Romance, Women's Fiction","Bronwyn Scott, Ann Lethbridge, Helen Lacey, Lauri Robinson, Jean Love-Cush","Seattle, US"
200,Donald Maass,Donald Maass Literary Agency,http://maassagency.com/,Email,None,"Fiction, Commercial Fiction, Crime Fiction, Fantasy, Historical Fiction, Horror, Literary Fiction, Mystery, Romance, Science Fiction, Thriller","Nnedi Okorafor, Brent Weeks, Anne Perry, Todd McCaffrey","New York City, US"
201,Sara Crowe,Pippin Properties,http://www.pippinproperties.com/,Email,☑️ Interested in debut authors,"Fiction, Fantasy, Science Fiction, Thriller, Young Adult, Children's Book","Nina Lacour, Erin Entrada Kelly, Amy Rose Capetta, Kate Pentecost","New York City, US"
202,Patricia Nelson,"Marsal Lyon Literary Agency, LLC",https://www.marsallyonliteraryagency.com/,Email,None,"Fiction, Commercial Fiction, Fantasy, Literary Fiction, Romance, Women's Fiction, Young Adult, Children's Book, Middle Grade, Diverse Fiction, BIPOC, LGBTQ","Candice Iloh, Mary McCoy, Axie Oh, Dahlia Adler, Anna Meriano, Kristi Wientge","San Diego, US"
203,Alison Fargis,Stonesong,https://www.stonesong.com,Email,None,"Fiction, Commercial Fiction, Literary Fiction, Women's Fiction, Young Adult, Nonfiction, Business Book, Narrative Nonfiction, Self-Help, Children's Book, Middle Grade","Susan B. Anderson, Sara Bliss, Michael Buckley, Erin Gleeson, Eric Gorges","New York, US"
204,Jenni Ferrari-Adler,Union Literary,http://unionliterary.com/,Email,None,"Fiction, Literary Fiction, Nonfiction, Memoir, Narrative Nonfiction","Kristen Roupenian, Susie Yang, Mo Daviau, Rebecca Dinerstein, Eileen Pollack","New York, US"
205,Joshua A. Bilmes,Jabberwocky Literary Agency,http://www.awfulagent.com,Email,☑️ Interested in debut authors,"Fiction, Crime Fiction, Fantasy, Horror, Mystery, Science Fiction, Thriller, Nonfiction, Business Book, Memoir, Politics, Sports","Brandon Sanderson, Charlaine Harris, Peter V. Brett, Jack Campbell, Tanya Huff","New York City, US"
206,Anne Sibbald,Janklow & Nesbit Associates,http://www.janklowandnesbit.com/,Email,None,"Fiction, Commercial Fiction, Fantasy, Thriller, Nonfiction, Memoir","Terry Brooks, Stuart Woods, Bob Colacello, Nicholas Christopher","New York, US"
207,Karen Solem,Spencerhill Associates,https://www.spencerhillassociates.com/,Online submission form,☑️ Interested in debut authors,"Fiction, Commercial Fiction, Historical Fiction, Literary Fiction, Romance, Thriller, Women's Fiction, Christian","Eve Silver, Lara Adrian, Patti Berg, Barbara Freethy","Tampa, US"
208,Peter Straus,RCW Literary Agency,https://www.rcwlitagency.com/,Email,None,"Fiction, Commercial Fiction, Literary Fiction, Poetry, Nonfiction, Narrative Nonfiction","Kazuo Ishiguro, Colm Toibin, Kate Atkinson, Jenny Pitman, Rupert Thomsom","London, GB"
209,Alex Cochran,C+W,https://cwagency.co.uk/,Email,☑️ Interested in debut authors,"Fiction, Crime Fiction, Fantasy, Graphic Novel, Literary Fiction, Science Fiction, Thriller, Nonfiction, Memoir, Narrative Nonfiction","Tade Thompson, Luke Arnold, G.V. Anderson, Nicholas Binge, Dave Hutchinson, Mike Brooks","London, GB"
210,Jeff Kleinman,Folio Literary Management,https://www.foliolit.com/,Email,None,"Fiction, Historical Fiction, Literary Fiction, Thriller, Nonfiction, Memoir, Narrative Nonfiction, Politics","Garth Stein, Eowyn Ivey, Elizabeth Letts, Robert Hicks, Charles J. Shields, Karen Dionne","New York City, US"
211,Cristina Concepcion,Don Congdon Associates,http://www.doncongdon.com/,Email,☑️ Interested in debut authors,"Fiction, Crime Fiction, Mystery, Thriller, Nonfiction, Narrative Nonfiction, Politics, Commercial Fiction, Cookbook, Historical Fiction, Literary Fiction","David Sedaris, Susan Allen, Russell Baker, Jane Cleland","New York, US"
212,Allison Hunter,Trellis Literary,https://www.trellisliterary.com/,Email,☑️ Interested in debut authors,"Fiction, Commercial Fiction, Humor, Literary Fiction, Women's Fiction, Nonfiction, Memoir, Narrative Nonfiction, Politics, Romance, Thriller","Rosie Walsh, Lauren Ho, Randall Klein, Alexandra Borowitz, Katie Heaney","New York City, US"
213,Harvey Klinger,"Harvey Klinger, Inc.",https://www.harveyklinger.com/,Email,☑️ Interested in debut authors,"Fiction, Commercial Fiction, Literary Fiction, Mystery, Thriller, Women's Fiction, Nonfiction, Narrative Nonfiction, Self-Help, Diverse Fiction, Action & Adventure, African-American, Business Book, Cookbook, Crime Fiction, Romance","Augusta Trobaugh, Natasha Mostert, Paul Elliott Russell, Paul Russell, George M. Taber, Julie Stav","New York City, US"
214,Susan Ramer,Don Congdon Associates,http://www.doncongdon.com/,Email,None,"Fiction, Commercial Fiction, Historical Fiction, Humor, Literary Fiction, Nonfiction, Memoir, Narrative Nonfiction, Women's Fiction","Kathryn Stockett, Rachel Weaver, Ellen Gilchrist, Amy Belding Brown, Rachel Louise Snyder","New York, US"
215,Helen Breitwieser,Cornerstone Literary Agency,http://www.cornerstoneliterary.com/,Email,None,"Fiction, Commercial Fiction, Literary Fiction, Romance, Women's Fiction, Young Adult, Nonfiction, Cookbook, Narrative Nonfiction, Children's Book, Middle Grade","Katherine Center, Tessa Dare, Robert Evans, Beth Fataskey, Ursula Vernon","Los Angeles, US"
216,Stephanie Rostan,Levine Greenberg Rostan Literary Agency,https://lgrliterary.com/,Email,None,"Fiction, Commercial Fiction, Crime Fiction, Fantasy, Historical Fiction, Literary Fiction, Mystery, Romance, Thriller, Women's Fiction, Young Adult, Nonfiction, Memoir, Narrative Nonfiction, Self-Help, Spirituality, Sports","Gillian Flynn, Lisa Lutz, Wendy Wax, Julia Dahl, Heather Swain","New York, US"
217,Steven Chudney,The Chudney Agency,http://www.thechudneyagency.com/,Email,☑️ Interested in debut authors,"Fiction, Young Adult, Children's Book, Middle Grade, Picture Book","Gaby Triana, Julie Bowe, Chris Woodworth, Wendy Lichtman","New York City, US"
218,Kerry Sparks,Levine Greenberg Rostan Literary Agency,https://lgrliterary.com/,Email,None,"Fiction, Young Adult, Children's Book, Middle Grade, Picture Book, Narrative Nonfiction, Poetry","Jennifer Niven, Camille Perri, Jennifer Mathieu, Mark Pett, Susan Wittig Albert","New York, US"
219,Deidre Knight,The Knight Agency,http://www.knightagency.net/,Email,None,"Fiction, Chick Lit, Commercial Fiction, Fantasy, Romance, Science Fiction, Women's Fiction, Young Adult, Nonfiction, Business Book, Christian, Self-Help, Spirituality, Diverse Fiction, LGBTQ","TJ Klune, Rachel Reid, Gena Showalter, Don Piper, Cat Sebastian, Louisa Edwards","Atlanta, US"
220,Molly O'Neill,Root Literary,https://www.rootliterary.com/,Email,☑️ Interested in debut authors,"Young Adult, Children's Book, Middle Grade, Diverse Fiction, Graphic Novel","Adib Khorram, Lynne Kelly, Sarah Sax, Ellen T. Crenshaw, Sophia Glock","Los Angeles, US"
221,Laurie Liss,Sterling Lord Literistic Inc.,https://www.sll.com/,Email,☑️ Interested in debut authors,"Fiction, Commercial Fiction, Historical Fiction, Literary Fiction, Thriller, Women's Fiction, Nonfiction, Memoir, Narrative Nonfiction, Diverse Fiction, BIPOC, LGBTQ, Spirituality","Richard Paul Evans, Rachel Maddow, Matt Richtel, Hannah Gadsby, Shankar Vedantam","New York City, US"
222,Rob McQuilkin,Massie & McQuilkin,http://www.mmqlit.com/,Email,☑️ Interested in debut authors,"Fiction, Historical Fiction, Nonfiction, Memoir, Literary Fiction, Narrative Nonfiction, Politics","Kim Addonizio, Douglas A. Martin","New York City, US"
223,Cameron McClure,Donald Maass Literary Agency,http://maassagency.com/,Email,None,"Fiction, Literary Fiction, Mystery, Science Fiction, Thriller, Diverse Fiction, LGBTQ","Robert McCammon, Robert Jackson Bennett, Ada Palmer, Amy Alkon","New York, US"
224,Laura Mazer,Wendy Sherman Associates,https://www.wsherman.com/,Email,None,"Fiction, Nonfiction, Self-Help, Spirituality, Diverse Fiction, BIPOC, Feminism, LGBTQ, Women's Fiction","Ijeoma Oluo, Virginia Grohl","New York, US"
225,Liz Darhansoff,Darhansoff Verrill Feldman Literary Agents,http://www.dvagency.com/,Email,None,"Fiction, Commercial Fiction, Literary Fiction, Nonfiction, Narrative Nonfiction","Annie Proulx, Neal Stephenson, Lee Smith, Nanci Kincaid, Lynda Barry","New York, US"
226,Hilary Harwell,KT Literary,http://ktliterary.com/,Email,☑️ Interested in debut authors,"Fiction, Young Adult, Children's Book, Middle Grade, Picture Book, Diverse Fiction, #ownvoices, BIPOC, LGBTQ","Kat Abbott, Jennifer Gruenke, Terrance Jefferson, Erin Cotter","Denver, US"
227,Maria Carvainis,"Maria Carvainis Agency, Inc.",https://www.mariacarvainisagency.com/,Email,None,"Fiction, Commercial Fiction, Historical Fiction, Literary Fiction, Mystery, Romance, Thriller, Women's Fiction, Nonfiction, Business Book, Cookbook, Memoir","Laura Wright, Mary Balogh, Advaita Kala","New York, US"
228,Michelle Brower,Aevitas Creative Management,https://aevitascreative.com/,Online submission form,None,"Fiction, Commercial Fiction, Literary Fiction, Women's Fiction, Young Adult, Nonfiction, Memoir, Narrative Nonfiction, Thriller","Erika L. Sánchez, Tara Conklin, Hazel Gaynor, Erika Swyler, Viet Dinh","Boston, US"
229,Katie Kotchman,Don Congdon Associates,http://www.doncongdon.com/,Email,☑️ Interested in debut authors,"Fiction, Historical Fiction, Literary Fiction, Women's Fiction, Nonfiction, Business Book, Memoir, Narrative Nonfiction, Self-Help","Jill Althouse-Wood, Lauren Berger, Jenny Dearborn, Tom Faley","New York City, US"
230,Paul Rodeen,Rodeen Literary Management,http://rodeenliterary.com/,Email,None,"Fiction, Graphic Novel, Young Adult, Nonfiction, Children's Book, Middle Grade, Picture Book","Peter Brown, Lauren Castillo, Victoria Jamieson, Ryan Higgins","Chicago, US"
231,James A. Levine,Levine Greenberg Rostan Literary Agency,https://lgrliterary.com/,Email,None,"Nonfiction, Business Book, Memoir, Narrative Nonfiction, Politics, Spirituality, Sports","Tom Brady, Gisele Bündchen, Safi Bahcall, Francis Bok, Cornelia Dean","New York, US"
232,Gail Hochman,"Brandt & Hochman Literary Agents, Inc.",https://brandthochman.com/,Email,None,"Fiction, Commercial Fiction, Literary Fiction, Mystery, Thriller, Nonfiction, Memoir, Narrative Nonfiction, Politics, Children's Book","Scott Turow, Michael Cunningham, Leah Stewart","New York, US"
233,Hillary Jacobson,ICM Partners,https://www.icmpartners.com/,Email,☑️ Interested in debut authors,"Fiction, Commercial Fiction, Graphic Novel, Humor, Literary Fiction, Mystery, Romance, Science Fiction, Thriller, Women's Fiction, Young Adult, Nonfiction, Memoir, Narrative Nonfiction, Children's Book, Diverse Fiction, #ownvoices, BIPOC, Feminism, LGBTQ, Fantasy, Historical Fiction","Tomi Adeyemi, Kate Elizabeth Russell, Karen Hamilton, Eiko Kadono","Los Angeles, US"
234,Christy Fletcher,Fletcher & Company,http://www.fletcherandco.com/,Email,None,"Fiction, Commercial Fiction, Literary Fiction, Women's Fiction, Nonfiction, Memoir, Narrative Nonfiction","Maggie O'Farrell, Deborah Gruenfeld, Lynn Coady, Vincent Lam, David Leonhardt","New York, US"
235,Thao Le,Sandra Dijkstra Literary Agency,http://www.dijkstraagency.com/,Email,None,"Fiction, Fantasy, Graphic Novel, Romance, Science Fiction, Young Adult, Children's Book, Middle Grade, Picture Book, Diverse Fiction, BIPOC, LGBTQ","Roshani Chokshi, Sandhya Menon, Emily Duncan, Jessie Sima","San Diego, US"
236,Alex Glass,Glass Literary Management,http://www.glassliterary.com/,Email,☑️ Interested in debut authors,"Fiction, Commercial Fiction, Humor, Literary Fiction, Mystery, Thriller, Nonfiction, Memoir, Narrative Nonfiction, African-American, BIPOC, Children's Book, Cookbook, Middle Grade, New Adult, Self-Help, Spirituality, Young Adult","Haylie Pomroy, Chad Kultgen, Matt Bondurant, Jon Cryer, Da Chen, Marcy Dermansky, Jennifer Esposito","New York City, US"
237,David Black,David Black Literary Agency,http://www.davidblackagency.com/,Email,None,"Nonfiction, Business Book, Memoir, Narrative Nonfiction, Politics, Spirituality, Sports","Mitch Albom, Erik Larson, David Kidder, Jenny Sanford, Noah Oppenheim","New York, US"
238,Kathryn Willms,The Rights Factory,https://www.therightsfactory.com/Agents/Kathryn-Willms,Online submission form,None,"Action & Adventure, Cookbook, Historical Fiction, Self-Help, Sports","Lisa Brahin, Krista Towns, Laura Pratt, Michelle McIvor, Karen Pierce","Toronto, CA"
239,Bill Reeves,WTA Media,https://thewtagroup.com,Email,None,"Nonfiction, Christian","Troy Schmidt, Alex Kendrick, Stephen Kendrick","Tampa, US"
240,Gary Morris,David Black Literary Agency,http://www.davidblackagency.com/,Email,None,"Nonfiction, Business Book, Cookbook, Memoir, Narrative Nonfiction, Politics, Sports","William G. Boykin, Tom Morrisey, Michele Reiss, Lisa Bedford, Erik Larson, Jai Pausch","New York, US"
241,Grace Heifetz,Left Bank Literary,https://leftbankliterary.com/,Online submission form,None,"Fiction, Commercial Fiction, Literary Fiction, Nonfiction, Narrative Nonfiction","Bri Lee, Nakkiah Lui, Emily Maguire, Chris Hammer","Sydney, AU"
242,Kaitlyn Johnson,Belcastro Literary Agency,http://belcastroagency.com/,Online submission form,None,"Fiction, Commercial Fiction, Fantasy, Graphic Novel, Historical Fiction, New Adult, Romance, Science Fiction, Young Adult, Children's Book, Middle Grade, LGBTQ","Kristina Mahr, Rebecca Thorne, Ellen McGinty","New York, US"
243,Betsy Lerner,"Dunow, Carlson & Lerner Literary Agency",https://www.dclagency.com/,Email,None,"Nonfiction, Memoir, Politics","Mikita Brottman, Andrea Kleine, Mark Oppenheimer, Jean Zimmerman","New York, US"
