Nombre,Periodos parlamentarios,Comunas,Distrito,Región,Período Actual,Partido,Bancada,Email
Benjamín Moreno Bascur,2022-2026,"Sagrada Familia, Hualañé, Curepto, Teno, Talca, Empedrado, Pelarco, San Rafael, Romeral, Molina, Curicó, Licantén, Vichuquén, Rauco, Constitución, Pencahue, San Clemente, Río Claro, Maule",17,Región del Maule,2022-2026,,Comité Republicanos,benjamin.moreno@congreso.cl
Jaime Mulet Martínez,"1998-2002, 2002-2006, 2006-2010, 2018-2022, 2022-2026","Vallenar, Alto del Carmen, Chañaral, Diego de Almagro, Copiapó, Caldera, Tierra Amarilla, Freirina, Huasco",4,Región de Atacama,2022-2026,,"Comité Comunista, Federación Regionalista Verde Social e Independientes",jaime.mulet@congreso.cl
Francesca Muñoz González,"2018-2022, 2022-2026","Hualpén, Tomé, Penco, Concepción, Hualqui, Chiguayante, Florida, San Pedro de la Paz, Coronel, Santa Juana, Talcahuano",20,Región del Bío Bío,2022-2026,,Renovación Nacional,francesca.munoz@congreso.cl
Camila Musante Müller,2022-2026,"Buin, Melipilla, Curacaví, San Bernardo, Talagante, Peñaflor, Isla de Maipo, Paine, María Pinto, Alhué, Calera de Tango, El Monte, San Pedro, Padre Hurtado",14,Región Metropolitana de Santiago,2022-2026,,"Comité Comunista, Federación Regionalista Verde Social e Independientes",camila.musante@congreso.cl
Jaime Naranjo Ortiz,"1990-1994, 1994-1998, 1998-2002, 2018-2022, 2022-2026","Retiro, Chanco, Parral, Colbún, Villa Alegre, Yerbas Buenas, Longaví, Pelluhue, San Javier, Linares, Cauquenes",18,Región del Maule,2022-2026,,Socialista,jaime.naranjo@congreso.cl
Gloria Naveillan Arriagada,2022-2026,"Renaico, Lonquimay, Angol, Purén, Lautaro, Lumaco, Curacautín, Galvarino, Ercilla, Victoria, Perquenco, Los Sauces, Vilcún, Collipulli, Traiguén, Melipeuco",22,Región de La Araucanía,2022-2026,,Comité Republicanos,gloria.naveillan@congreso.cl
Emilia Nuyado Ancapichún,"2018-2022, 2022-2026","Osorno, Llanquihue, Fresia, Puerto Varas, San Pablo, Puyehue, Puerto Octay, Frutillar, San Juan de la Costa, Purranque, Los Muermos, Río Negro",25,Región de Los Lagos,2022-2026,,Socialista,emilia.nuyado@congreso.cl
Ericka Ñanco Vásquez,2022-2026,"Freire, Temuco, Pitrufquén, Loncoche, Carahue, Saavedra, Cholchol, Padre Las Casas, Nueva Imperial, Cunco, Pucón, Curarrehue, Toltén, Teodoro Schmidt, Villarrica, Gorbea",23,Región de La Araucanía,2022-2026,,"Comité Frente Amplio RD, Comunes y Convergencia Social",ericka.nanco@congreso.cl
Mauricio Ojeda Rebolledo,2022-2026,"Freire, Temuco, Pitrufquén, Loncoche, Carahue, Saavedra, Cholchol, Padre Las Casas, Nueva Imperial, Cunco, Pucón, Curarrehue, Toltén, Teodoro Schmidt, Villarrica, Gorbea",23,Región de La Araucanía,2022-2026,,Comité Republicanos,mauricio.ojeda@congreso.cl
Erika Olivera De La Fuente,"2018-2022, 2022-2026","Conchalí, Huechuraba, Cerro Navia, Renca, Lo Prado, Recoleta, Independencia, Quinta Normal",9,Región Metropolitana de Santiago,2022-2026,,Renovación Nacional,erika.olivera@congreso.cl
Maite Orsini Pascal,"2018-2022, 2022-2026","Conchalí, Huechuraba, Cerro Navia, Renca, Lo Prado, Recoleta, Independencia, Quinta Normal",9,Región Metropolitana de Santiago,2022-2026,,"Comité Frente Amplio RD, Comunes y Convergencia Social",maite.orsini@congreso.cl
Ximena Ossandón Irarrázabal,"2018-2022, 2022-2026","La Pintana, Puente Alto, Pirque, La Florida, San José de Maipo",12,Región Metropolitana de Santiago,2022-2026,,Renovación Nacional,ximena.ossandon@congreso.cl
Rubén Darío Oyarzo Figueroa,2022-2026,"Quilicura, Pudahuel, Estación Central, Colina, Lampa , Cerrillos, Maipú, Tiltil",8,Región Metropolitana de Santiago,2022-2026,,Comité Partido de la Gente,ruben.oyarzo@congreso.cl
Hernán Palma Pérez,2022-2026,"La Pintana, Puente Alto, Pirque, La Florida, San José de Maipo",12,Región Metropolitana de Santiago,2022-2026,,"Comité Comunista, Federación Regionalista Verde Social e Independientes",hernan.palma@congreso.cl
Marlene Pérez Cartes,2022-2026,"Hualpén, Tomé, Penco, Concepción, Hualqui, Chiguayante, Florida, San Pedro de la Paz, Coronel, Santa Juana, Talcahuano",20,Región del Bío Bío,2022-2026,,Unión Demócrata Independiente,marlene.perez@congreso.cl
Joanna Pérez Olea,"2018-2022, 2022-2026","Los Ángeles, Alto Biobío, Mulchén, Los Álamos, Tirúa, Tucapel, Negrete, Cañete, Nacimiento, Lebu, Antuco, Arauco, Curanilahue, Quilleco, Santa Bárbara, San Rosendo, Laja, Cabrero, Yumbel, Lota, Contulmo, Quilaco",21,Región del Bío Bío,2022-2026,,Demócrata Cristiano,joanna.perez@congreso.cl
Catalina Pérez Salinas,"2018-2022, 2022-2026","Sierra Gorda, San Pedro de Atacama, Antofagasta, Taltal, Calama, Tocopilla, María Elena, Ollagüe, Mejillones",3,Región de Antofagasta,2022-2026,,"Comité Frente Amplio RD, Comunes y Convergencia Social",catalina.perez@congreso.cl
Víctor Alejandro Pino Fuentes,2022-2026,"Paiguano, Andacollo, Coquimbo, Ovalle, Illapel, Salamanca, Combarbalá, Río Hurtado, Monte Patria, Canela, Vicuña, Los Vilos, La Serena, La Higuera, Punitaqui",5,Región de Coquimbo,2022-2026,,Comité Partido de la Gente,victor.pino@congreso.cl
Lorena Pizarro Sierra,2022-2026,"Pedro Aguirre Cerda, La Cisterna, San Ramón, Lo Espejo, El Bosque, San Miguel",13,Región Metropolitana de Santiago,2022-2026,,"Comité Comunista, Federación Regionalista Verde Social e Independientes",lorena.pizarro@congreso.cl
Alejandra Placencia Cabello,2022-2026,"Santiago, Providencia, San Joaquín, La Granja, Ñuñoa, Macul",10,Región Metropolitana de Santiago,2022-2026,,"Comité Comunista, Federación Regionalista Verde Social e Independientes",alejandra.placencia@congreso.cl
Francisco Pulgar Castillo,2022-2026,"Sagrada Familia, Hualañé, Curepto, Teno, Talca, Empedrado, Pelarco, San Rafael, Romeral, Molina, Curicó, Licantén, Vichuquén, Rauco, Constitución, Pencahue, San Clemente, Río Claro, Maule",17,Región del Maule,2022-2026,,Comité Partido de la Gente,francisco.pulgar@congreso.cl
Guillermo Ramírez Diez,"2018-2022, 2022-2026","Lo Barnechea, La Reina, Peñalolén, Vitacura, Las Condes",11,Región Metropolitana de Santiago,2022-2026,,Unión Demócrata Independiente,guillermo.ramirez@congreso.cl
Matías Ramírez Pascal,2022-2026,"Pica, Camiña, Colchane, Alto Hospicio, Huara, Pozo Almonte, Iquique",2,Región de Tarapacá,2022-2026,,"Comité Comunista, Federación Regionalista Verde Social e Independientes",matias.ramirez@congreso.cl
Marcia Raphael Mora,2022-2026,"Coyhaique, Aysén, Chile Chico, O'Higgins, Cochrane, Guaitecas, Cisnes, Lago Verde, Tortel, Río Ibáñez",27,Región de Aysén del General Carlos Ibáñez del Campo,2022-2026,,Renovación Nacional,marcia.raphael@congreso.cl
Jorge Rathgeb Schifferli,"2014-2018, 2018-2022, 2022-2026","Renaico, Lonquimay, Angol, Purén, Lautaro, Lumaco, Curacautín, Galvarino, Ercilla, Victoria, Perquenco, Los Sauces, Vilcún, Collipulli, Traiguén, Melipeuco",22,Región de La Araucanía,2022-2026,,Renovación Nacional,jorge.rathgeb@congreso.cl
Hugo Rey Martínez,"2018-2022, 2022-2026","Sagrada Familia, Hualañé, Curepto, Teno, Talca, Empedrado, Pelarco, San Rafael, Romeral, Molina, Curicó, Licantén, Vichuquén, Rauco, Constitución, Pencahue, San Clemente, Río Claro, Maule",17,Región del Maule,2022-2026,,Renovación Nacional,hugo.rey@congreso.cl
Marcela Riquelme Aliaga,2022-2026,"Mostazal, Graneros, Requínoa, Rancagua, Quinta de Tilcoco, Olivar, Codegua, Machalí, Doñihue, Rengo, Malloa, Coinco, Coltauco",15,Región del Libertador General Bernardo O' Higgins,2022-2026,,"Comité Frente Amplio RD, Comunes y Convergencia Social",marcela.riquelme@congreso.cl
Gaspar Rivas Sánchez,"2010-2014, 2014-2018, 2022-2026","Papudo, Zapallar, Quillota, Hijuelas, Los Andes, Quintero, San Felipe, Panquehue, Villa Alemana, La Ligua, Puchuncaví, Santa María, Llay Llay, Petorca, Nogales, San Esteban, Putaendo, Cabildo, Calle Larga, Rinconada, Quilpué, Calera, La Cruz, Catemu, Olmué, Limache",6,Región de Valparaíso,2022-2026,,Comité Partido de la Gente,grivas@congreso.cl
Camila Rojas Valderrama,"2018-2022, 2022-2026","Viña del Mar, Santo Domingo, El Quisco, Casablanca, Valparaíso, Isla de Pascua, Concón, San Antonio, Algarrobo, Juan Fernández, Cartagena, El Tabo",7,Región de Valparaíso,2022-2026,,"Comité Frente Amplio RD, Comunes y Convergencia Social",camila.rojas@congreso.cl
Agustín Romero Leiva,2022-2026,"Quilicura, Pudahuel, Estación Central, Colina, Lampa , Cerrillos, Maipú, Tiltil",8,Región Metropolitana de Santiago,2022-2026,,Comité Republicanos,agustin.romero@congreso.cl
Leonidas Romero Sáez,"2018-2022, 2022-2026","Hualpén, Tomé, Penco, Concepción, Hualqui, Chiguayante, Florida, San Pedro de la Paz, Coronel, Santa Juana, Talcahuano",20,Región del Bío Bío,2022-2026,,Comité Republicanos,leonidas.romero@congreso.cl
Natalia Romero Talguia,2022-2026,"Mostazal, Graneros, Requínoa, Rancagua, Quinta de Tilcoco, Olivar, Codegua, Machalí, Doñihue, Rengo, Malloa, Coinco, Coltauco",15,Región del Libertador General Bernardo O' Higgins,2022-2026,,Unión Demócrata Independiente,natalia.romero@congreso.cl
Patricio Rosas Barrientos,"2018-2022, 2022-2026","Panguipulli, Los Lagos, Lanco, Futrono, La Unión, Mariquina, Paillaco, Lago Ranco, Valdivia, Máfil, Corral, Río Bueno",24,Región de Los Ríos,2022-2026,,"Comité Frente Amplio RD, Comunes y Convergencia Social",patricio.rosas@congreso.cl
Jaime Sáez Quiroz,2022-2026,"Puerto Montt, Chonchi, Quemchi, Quinchao, Hualaihué, Calbuco, Curaco de Vélez, Queilén, Cochamó, Maullín, Futaleufú, Palena, Quellón, Castro, Ancud, Dalcahue, Puqueldón, Chaitén",26,Región de Los Lagos,2022-2026,,"Comité Frente Amplio RD, Comunes y Convergencia Social",jaime.saez@congreso.cl
Jorge Saffirio Espinoza,2022-2026,"Renaico, Lonquimay, Angol, Purén, Lautaro, Lumaco, Curacautín, Galvarino, Ercilla, Victoria, Perquenco, Los Sauces, Vilcún, Collipulli, Traiguén, Melipeuco",22,Región de La Araucanía,2022-2026,,Demócrata Cristiano,jorge.saffirio@congreso.cl
Clara Sagardia Cabezas,2022-2026,"Los Ángeles, Alto Biobío, Mulchén, Los Álamos, Tirúa, Tucapel, Negrete, Cañete, Nacimiento, Lebu, Antuco, Arauco, Curanilahue, Quilleco, Santa Bárbara, San Rosendo, Laja, Cabrero, Yumbel, Lota, Contulmo, Quilaco",21,Región del Bío Bío,2022-2026,,"Comité Frente Amplio RD, Comunes y Convergencia Social",clara.sagardia@congreso.cl
Luis Sánchez Ossa,2022-2026,"Viña del Mar, Santo Domingo, El Quisco, Casablanca, Valparaíso, Isla de Pascua, Concón, San Antonio, Algarrobo, Juan Fernández, Cartagena, El Tabo",7,Región de Valparaíso,2022-2026,,Comité Republicanos,luis.sanchez@congreso.cl
Juan Santana Castillo,"2018-2022, 2022-2026","Vallenar, Alto del Carmen, Chañaral, Diego de Almagro, Copiapó, Caldera, Tierra Amarilla, Freirina, Huasco",4,Región de Atacama,2022-2026,,Socialista,juan.santana@congreso.cl
Marisela Santibáñez Novoa,"2018-2022, 2022-2026","Buin, Melipilla, Curacaví, San Bernardo, Talagante, Peñaflor, Isla de Maipo, Paine, María Pinto, Alhué, Calera de Tango, El Monte, San Pedro, Padre Hurtado",14,Región Metropolitana de Santiago,2022-2026,,"Comité Comunista, Federación Regionalista Verde Social e Independientes",marisela.santibanez@congreso.cl
Frank Sauerbaum Muñoz,"2010-2014, 2018-2022, 2022-2026","Pinto, Quillón, San Ignacio, Coihueco, Ninhue, Ránquil, San Nicolás, Bulnes, Yungay, Portezuelo, Ñiquén, El Carmen, San Carlos, Chillán Viejo, Treguaco, Chillán, Pemuco, Quirihue, Cobquecura, Coelemu, San Fabián",19,Región de Ñuble,2022-2026,,Renovación Nacional,frank.sauerbaum@congreso.cl
Diego Schalper Sepúlveda,"2018-2022, 2022-2026","Mostazal, Graneros, Requínoa, Rancagua, Quinta de Tilcoco, Olivar, Codegua, Machalí, Doñihue, Rengo, Malloa, Coinco, Coltauco",15,Región del Libertador General Bernardo O' Higgins,2022-2026,,Renovación Nacional,diego.schalper@congreso.cl
Emilia Schneider Videla,2022-2026,"Santiago, Providencia, San Joaquín, La Granja, Ñuñoa, Macul",10,Región Metropolitana de Santiago,2022-2026,,"Comité Frente Amplio RD, Comunes y Convergencia Social",emilia.schneider@congreso.cl
Stephan Schubert Rubio,2022-2026,"Freire, Temuco, Pitrufquén, Loncoche, Carahue, Saavedra, Cholchol, Padre Las Casas, Nueva Imperial, Cunco, Pucón, Curarrehue, Toltén, Teodoro Schmidt, Villarrica, Gorbea",23,Región de La Araucanía,2022-2026,,Comité Republicanos,stephan.schubert@congreso.cl
Alexis Sepúlveda Soto,"2018-2022, 2022-2026","Sagrada Familia, Hualañé, Curepto, Teno, Talca, Empedrado, Pelarco, San Rafael, Romeral, Molina, Curicó, Licantén, Vichuquén, Rauco, Constitución, Pencahue, San Clemente, Río Claro, Maule",17,Región del Maule,2022-2026,,Comité Radical - Liberal,alexis.sepulveda@congreso.cl
Daniela Serrano Salazar,2022-2026,"La Pintana, Puente Alto, Pirque, La Florida, San José de Maipo",12,Región Metropolitana de Santiago,2022-2026,,"Comité Comunista, Federación Regionalista Verde Social e Independientes",daniela.serrano@congreso.cl
Leonardo Soto Ferrada,"2014-2018, 2018-2022, 2022-2026","Buin, Melipilla, Curacaví, San Bernardo, Talagante, Peñaflor, Isla de Maipo, Paine, María Pinto, Alhué, Calera de Tango, El Monte, San Pedro, Padre Hurtado",14,Región Metropolitana de Santiago,2022-2026,,Socialista,leonardo.soto@congreso.cl
Raúl Soto Mardones,"2018-2022, 2022-2026","Mostazal, Graneros, Requínoa, Rancagua, Quinta de Tilcoco, Olivar, Codegua, Machalí, Doñihue, Rengo, Malloa, Coinco, Coltauco",15,Región del Libertador General Bernardo O' Higgins,2022-2026,,Partido Por la Democracia,raul.soto@congreso.cl
Marco Antonio Sulantay Olivares,2022-2026,"Paiguano, Andacollo, Coquimbo, Ovalle, Illapel, Salamanca, Combarbalá, Río Hurtado, Monte Patria, Canela, Vicuña, Los Vilos, La Serena, La Higuera, Punitaqui",5,Región de Coquimbo,2022-2026,,Unión Demócrata Independiente,marco.sulantay@congreso.cl
Cristián Tapia Ramos,2022-2026,"Vallenar, Alto del Carmen, Chañaral, Diego de Almagro, Copiapó, Caldera, Tierra Amarilla, Freirina, Huasco",4,Región de Atacama,2022-2026,,Partido Por la Democracia,cristian.tapia@congreso.cl
Hotuiti Teao Drago,2022-2026,"Viña del Mar, Santo Domingo, El Quisco, Casablanca, Valparaíso, Isla de Pascua, Concón, San Antonio, Algarrobo, Juan Fernández, Cartagena, El Tabo",7,Región de Valparaíso,2022-2026,,Evolución Política,hotuiti.teao@congreso.cl
Carolina Tello Rojas,2022-2026,"Paiguano, Andacollo, Coquimbo, Ovalle, Illapel, Salamanca, Combarbalá, Río Hurtado, Monte Patria, Canela, Vicuña, Los Vilos, La Serena, La Higuera, Punitaqui",5,Región de Coquimbo,2022-2026,,"Comité Comunista, Federación Regionalista Verde Social e Independientes",carolina.tello@congreso.cl
Renzo Trisotti Martínez,"2014-2018, 2018-2022, 2022-2026","Pica, Camiña, Colchane, Alto Hospicio, Huara, Pozo Almonte, Iquique",2,Región de Tarapacá,2022-2026,,Unión Demócrata Independiente,renzo.trisotti@congreso.cl
Héctor Ulloa Aguilera,2022-2026,"Puerto Montt, Chonchi, Quemchi, Quinchao, Hualaihué, Calbuco, Curaco de Vélez, Queilén, Cochamó, Maullín, Futaleufú, Palena, Quellón, Castro, Ancud, Dalcahue, Puqueldón, Chaitén",26,Región de Los Lagos,2022-2026,,Partido Por la Democracia,hector.ulloa@congreso.cl
Francisco Undurraga Gazitúa,"2018-2022, 2022-2026","Lo Barnechea, La Reina, Peñalolén, Vitacura, Las Condes",11,Región Metropolitana de Santiago,2022-2026,,Evolución Política,francisco.undurraga@congreso.cl
Alberto Undurraga Vicuña,2022-2026,"Quilicura, Pudahuel, Estación Central, Colina, Lampa , Cerrillos, Maipú, Tiltil",8,Región Metropolitana de Santiago,2022-2026,,Demócrata Cristiano,alberto.undurraga@congreso.cl
Cristóbal Urruticoechea Ríos,"2018-2022, 2022-2026","Los Ángeles, Alto Biobío, Mulchén, Los Álamos, Tirúa, Tucapel, Negrete, Cañete, Nacimiento, Lebu, Antuco, Arauco, Curanilahue, Quilleco, Santa Bárbara, San Rosendo, Laja, Cabrero, Yumbel, Lota, Contulmo, Quilaco",21,Región del Bío Bío,2022-2026,,Comité Republicanos,cristobal.urruticoechea@congreso.cl
Consuelo Veloso Ávila,2022-2026,"Retiro, Chanco, Parral, Colbún, Villa Alegre, Yerbas Buenas, Longaví, Pelluhue, San Javier, Linares, Cauquenes",18,Región del Maule,2022-2026,,"Comité Frente Amplio RD, Comunes y Convergencia Social",consuelo.veloso@congreso.cl
Nelson Venegas Salazar,2022-2026,"Papudo, Zapallar, Quillota, Hijuelas, Los Andes, Quintero, San Felipe, Panquehue, Villa Alemana, La Ligua, Puchuncaví, Santa María, Llay Llay, Petorca, Nogales, San Esteban, Putaendo, Cabildo, Calle Larga, Rinconada, Quilpué, Calera, La Cruz, Catemu, Olmué, Limache",6,Región de Valparaíso,2022-2026,,Socialista,nelson.venegas@congreso.cl
Sebastián Videla Castillo,2022-2026,"Sierra Gorda, San Pedro de Atacama, Antofagasta, Taltal, Calama, Tocopilla, María Elena, Ollagüe, Mejillones",3,Región de Antofagasta,2022-2026,,Comité Radical - Liberal,sebastian.videla@congreso.cl
Gastón Von Mühlenbrock Zamora,"2002-2006, 2006-2010, 2010-2014, 2018-2022, 2022-2026","Panguipulli, Los Lagos, Lanco, Futrono, La Unión, Mariquina, Paillaco, Lago Ranco, Valdivia, Máfil, Corral, Río Bueno",24,Región de Los Ríos,2022-2026,,Unión Demócrata Independiente,gaston.vonmuhlenbrock@congreso.cl
Flor Weisse Novoa,2022-2026,"Los Ángeles, Alto Biobío, Mulchén, Los Álamos, Tirúa, Tucapel, Negrete, Cañete, Nacimiento, Lebu, Antuco, Arauco, Curanilahue, Quilleco, Santa Bárbara, San Rosendo, Laja, Cabrero, Yumbel, Lota, Contulmo, Quilaco",21,Región del Bío Bío,2022-2026,,Unión Demócrata Independiente,flor.weisse@congreso.cl
Gonzalo Winter Etcheberry,"2018-2022, 2022-2026","Santiago, Providencia, San Joaquín, La Granja, Ñuñoa, Macul",10,Región Metropolitana de Santiago,2022-2026,,"Comité Frente Amplio RD, Comunes y Convergencia Social",gonzalo.winter@congreso.cl
Gael Yeomans Araya,"2018-2022, 2022-2026","Pedro Aguirre Cerda, La Cisterna, San Ramón, Lo Espejo, El Bosque, San Miguel",13,Región Metropolitana de Santiago,2022-2026,,"Comité Frente Amplio RD, Comunes y Convergencia Social",gael.yeomans@congreso.cl
