apellidos,formacion,apellidosNombre,genero,fchAlta,grupo,idCircunscripcion,nombreCircunscripcion,nombre,codParlamentario,dateOfBirth,legislaturas,mailto,img,twitter,facebook,personal-web,legislatura_IX,legislatura_X,legislatura_XI,legislatura_XII,legislatura_XIII,legislatura_XIV,instagram,legislatura_V,legislatura_VI,legislatura_VII,legislatura_VIII,linkedin,youtube,legislatura_II,legislatura_III,years
Crespín Rubio,PSOE,"Crespín Rubio, Rafaela",2,21/11/2019,Socialista,14,Córdoba,Rafaela,107,1976-12-05,"['XIII', 'XIV']",rafaela.crespin@congreso.es,www.congreso.es/docu/imgweb/diputados/107_14.jpg,https://twitter.com/rafi_crespin,,,,,,,XIII,XIV,,,,,,,,,,45
Croissier Batista,PSOE,"Croissier Batista, Luis Carlos",1,17/02/1983,Socialista del Congreso,28,Madrid,Luis Carlos,355,1957-02-02,['XIV'],rosa.medel@congreso.es,www.congreso.es/docu/imgweb/diputados/355_14.jpg,https://twitter.com/rosamedel11,,,,,,,,XIV,,,,,,,,,,65
Cruz-Guzmán García,PP,"Cruz-Guzmán García, María Soledad",2,25/11/2019,Popular en el Congreso,41,Sevilla,María Soledad,159,1975-08-30,"['XIII', 'XIV']",sol.cruzguzman@congreso.es,www.congreso.es/docu/imgweb/diputados/159_14.jpg,https://twitter.com/solcruzguzman,https://www.facebook.com/sol.cruzguzman,,,,,,XIII,XIV,https://www.instagram.com/solcruzguzmangarcia/,,,,,,,,,46
Cuatrecasas Asua,PSOE,"Cuatrecasas Asua, Juan",1,28/11/2019,Socialista,26,Rioja (La),Juan,303,1965-05-07,"['XIII', 'XIV']",juan.cuatrecasas@congreso.es,www.congreso.es/docu/imgweb/diputados/303_14.jpg,https://twitter.com/CuatrecasasJuan,https://www.facebook.com/cuatrecasasjuan,,,,,,XIII,XIV,https://www.instagram.com/juancuatre/,,,,,,,,,57
De las Heras Fernández,Vox,"De las Heras Fernández, Patricia",2,26/11/2019,VOX,7,Balears (Illes),Patricia,248,1988-06-15,['XIV'],patricia.delasheras@congreso.es,www.congreso.es/docu/imgweb/diputados/248_14.jpg,https://twitter.com/PatriciadlHeras,,,,,,,,XIV,,,,,,,,,,34
Delgado Arce,PP,"Delgado Arce, Celso Luis",1,21/11/2019,Popular en el Congreso,32,Ourense,Celso Luis,116,1958-02-23,"['VII', 'VIII', 'IX', 'X', 'XI', 'XII', 'XIII', 'XIV']",celso.delgado@congreso.es,www.congreso.es/docu/imgweb/diputados/116_14.jpg,https://twitter.com/CelsoDelgadoOU,,http://www.celsodelgado.gal/,IX,X,XI,XII,XIII,XIV,,,,VII,VIII,,,,,64
De Luna Tobarra,PP,"De Luna Tobarra, Llanos",2,25/11/2019,Popular en el Congreso,8,Barcelona,Llanos,157,1960-03-03,['XIV'],llanos.deluna@congreso.es,www.congreso.es/docu/imgweb/diputados/157_14.jpg,https://twitter.com/llanosdeluna,,,,,,,,XIV,,,,,,,,,,62
Del Valle de Iscar,PSOE,"Del Valle de Iscar, Julio",1,14/02/2020,Socialista,47,Valladolid,Julio,360,1972-07-02,['XIV'],julio.delvalle@congreso.es,www.congreso.es/docu/imgweb/diputados/360_14.jpg,https://twitter.com/juliovalleiscar,,,,,,,,XIV,,,,,,,,,,50
Del Valle Rodríguez,Vox,"Del Valle Rodríguez, Emilio Jesús",1,25/11/2019,VOX,39,Cantabria,Emilio Jesús,175,1960-12-26,['XIV'],,www.congreso.es/docu/imgweb/diputados/175_14.jpg,https://twitter.com/edelvallerod,,,,,,,,XIV,,,,,,,,,,61
De Meer Méndez,Vox,"De Meer Méndez, Rocío",2,29/11/2019,VOX,4,Almería,Rocío,340,1989-12-26,"['XIII', 'XIV']",,www.congreso.es/docu/imgweb/diputados/340_14.jpg,https://twitter.com/MeerRocio,,,,,,,XIII,XIV,,,,,,,,,,32
Díaz Gómez,Cs,"Díaz Gómez, Guillermo",1,21/11/2019,Ciudadanos,29,Málaga,Guillermo,122,1978-04-29,"['XII', 'XIII', 'XIV']",guillermo.diaz@congreso.es,www.congreso.es/docu/imgweb/diputados/122_14.jpg,https://twitter.com/guillermodiazcs,,,,,,XII,XIII,XIV,,,,,,,,,,44
Díaz Pérez,EC-UP,"Díaz Pérez, Yolanda",2,25/11/2019,Confederal de Unidas Podemos-En Comú Podem-Galicia en Común,36,Pontevedra,Yolanda,171,1971-05-06,"['XI', 'XII', 'XIII', 'XIV']",yolanda.diaz@congreso.es,www.congreso.es/docu/imgweb/diputados/171_14.jpg,https://twitter.com/Yolanda_Diaz_,https://www.facebook.com/Yolanda-D%C3%ADaz-P%C3%A9rez-1388495761396359/,,,,XI,XII,XIII,XIV,,,,,,,,,,51
Díaz Rodríguez,PSOE,"Díaz Rodríguez, José Carlos",1,29/03/2022,Socialista,2,Albacete,José Carlos,389,1967-07-27,['XIV'],josecarlos.diaz@congreso.es,www.congreso.es/docu/imgweb/diputados/389_14.jpg,,,,,,,,,XIV,,,,,,,,,,55
Diouf Dioh,PSOE,"Diouf Dioh, Luc Andre",1,26/11/2019,Socialista,35,Palmas (Las),Luc Andre,221,1965-01-18,"['XIII', 'XIV']",luc.diouf@congreso.es,www.congreso.es/docu/imgweb/diputados/221_14.jpg,https://twitter.com/dioufluc,https://www.facebook.com/lucandrediouf.dioh,,,,,,XIII,XIV,https://www.instagram.com/lucandrediouf/,,,,,,,,,57
Durán Peralta,PSOE,"Durán Peralta, José Carlos",1,29/11/2019,Socialista,29,Málaga,José Carlos,342,1987-04-04,"['XIII', 'XIV']",josecarlos.duran@congreso.es,www.congreso.es/docu/imgweb/diputados/342_14.jpg,https://twitter.com/JCDuran_,,,,,,,XIII,XIV,,,,,,,,,,35
Echániz Salgado,PP,"Echániz Salgado, José Ignacio",1,21/11/2019,Popular en el Congreso,19,Guadalajara,José Ignacio,89,1963-09-14,"['VI', 'VIII', 'IX', 'XI', 'XII', 'XIII', 'XIV']",joseignacio.echaniz@congreso.es,www.congreso.es/docu/imgweb/diputados/89_14.jpg,https://twitter.com/JIEchaniz,,,IX,,XI,XII,XIII,XIV,,,VI,,VIII,,,,,58
Echenique Robba,UP,"Echenique Robba, Pablo",1,19/11/2019,Confederal de Unidas Podemos-En Comú Podem-Galicia en Común,50,Zaragoza,Pablo,13,1978-08-28,"['XIII', 'XIV']",,www.congreso.es/docu/imgweb/diputados/13_14.jpg,https://twitter.com/PabloEchenique,https://www.facebook.com/pablo.echenique/,,,,,,XIII,XIV,https://www.instagram.com/pablo_echenique_/,,,,,,,,,43
Elizo Serrano,UP,"Elizo Serrano, María Gloria",2,28/11/2019,Confederal de Unidas Podemos-En Comú Podem-Galicia en Común,28,Madrid,María Gloria,300,1966-12-11,"['XI', 'XII', 'XIII', 'XIV']",gloria.elizo@congreso.es,www.congreso.es/docu/imgweb/diputados/300_14.jpg,https://twitter.com/gloriaelizo,https://www.facebook.com/gloria.elizoserrano,,,,XI,XII,XIII,XIV,,,,,,,,,,55
Elorriaga Pisarik,PP,"Elorriaga Pisarik, Gabriel",1,16/07/2020,Popular en el Congreso,28,Madrid,Gabriel,376,1962-06-11,"['VIII', 'IX', 'X', 'XIV']",,www.congreso.es/docu/imgweb/diputados/376_14.jpg,https://twitter.com/gabrielorriaga,,,IX,X,,,,XIV,,,,,VIII,https://www.linkedin.com/in/gabrielelorriaga/,,,,60
Elorza González,PSE-EE-PSOE,"Elorza González, Odón",1,29/11/2019,Socialista,20,Gipuzkoa,Odón,324,1955-05-31,"['X', 'XI', 'XII', 'XIII', 'XIV']",odon.elorza@congreso.es,www.congreso.es/docu/imgweb/diputados/324_14.jpg,https://twitter.com/odonelorza2011,https://www.facebook.com/odonelorza,http://www.odonelorza.com,,X,XI,XII,XIII,XIV,,,,,,,,,,67
Eritja Ciuró,ERC-S,"Eritja Ciuró, Francesc Xavier",1,26/11/2019,Republicano,25,Lleida,Francesc Xavier,186,1970-03-26,"['XI', 'XII', 'XIII', 'XIV']",xavier.eritja@congreso.es,www.congreso.es/docu/imgweb/diputados/186_14.jpg,https://twitter.com/xavieritja,https://www.facebook.com/xavier.eritjaciuro,,,,XI,XII,XIII,XIV,,,,,,,,,,52
Errejón Galván,MÁS PAÍS-EQUO,"Errejón Galván, Íñigo",1,26/11/2019,Plural,28,Madrid,Íñigo,233,1983-12-14,"['XI', 'XII', 'XIV']",ierrejon@congreso.es,www.congreso.es/docu/imgweb/diputados/233_14.jpg,https://twitter.com/ierrejon,https://www.facebook.com/ierrejon/,,,,XI,XII,,XIV,https://www.instagram.com/ierrejon/,,,,,,,,,38
Espejo-Saavedra Conesa,Cs,"Espejo-Saavedra Conesa, José María",1,27/11/2019,Ciudadanos,8,Barcelona,José María,257,1976-07-20,"['XIII', 'XIV']",,www.congreso.es/docu/imgweb/diputados/257_14.jpg,https://twitter.com/jmespejosaav,,,,,,,XIII,XIV,,,,,,,,,,46
Espinosa de los Monteros de Simón,Vox,"Espinosa de los Monteros de Simón, Iván",1,20/11/2019,VOX,28,Madrid,Iván,83,1971-01-03,"['XIII', 'XIV']",ivan.espinosa@congreso.es,www.congreso.es/docu/imgweb/diputados/83_14.jpg,https://twitter.com/ivanedlm,,,,,,,XIII,XIV,,,,,,,,,,51
Esteban Bravo,EAJ-PNV,"Esteban Bravo, Aitor",1,21/11/2019,Vasco (EAJ-PNV),48,Bizkaia,Aitor,94,1962-06-21,"['VIII', 'IX', 'X', 'XI', 'XII', 'XIII', 'XIV']",,www.congreso.es/docu/imgweb/diputados/94_14.jpg,https://twitter.com/AITOR_ESTEBAN,https://www.facebook.com/aitor.esteban.3,,IX,X,XI,XII,XIII,XIV,,,,,VIII,,,,,60
Esteban Calonje,Vox,"Esteban Calonje, Cristina Alicia",2,27/11/2019,VOX,46,Valencia/València,Cristina Alicia,297,1976-11-05,"['XIII', 'XIV']",c.esteban@congreso.es,www.congreso.es/docu/imgweb/diputados/297_14.jpg,https://twitter.com/CrisEstebanVox,,,,,,,XIII,XIV,,,,,,,,,,45
Fagúndez Campo,PSOE,"Fagúndez Campo, Antidio",1,18/11/2019,Socialista,49,Zamora,Antidio,4,1976-02-13,['XIV'],antidio.fagundez@congreso.es,www.congreso.es/docu/imgweb/diputados/4_14.jpg,https://twitter.com/antidiof,,,,,,,,XIV,,,,,,,,,,46
Faneca López,PSOE,"Faneca López, María Luisa",2,27/11/2019,Socialista,21,Huelva,María Luisa,253,1957-09-13,"['XIII', 'XIV']",marialuisa.faneca@congreso.es,www.congreso.es/docu/imgweb/diputados/253_14.jpg,,,,,,,,XIII,XIV,,,,,,,,,,64
Fernández Benéitez,PSOE,"Fernández Benéitez, Andrea",2,21/11/2019,Socialista,24,León,Andrea,102,1992-10-20,"['XIII', 'XIV']",andrea.fernandez@congreso.es,www.congreso.es/docu/imgweb/diputados/102_14.jpg,https://twitter.com/afernb,,,,,,,XIII,XIV,,,,,,,,,,29
Fernández Casero,PSOE,"Fernández Casero, Ana Belén",2,26/11/2019,Socialista,10,Cáceres,Ana Belén,230,1974-12-22,"['XIII', 'XIV']",anabelen.fernandez@congreso.es,www.congreso.es/docu/imgweb/diputados/230_14.jpg,https://twitter.com/belenfcasero,,,,,,,XIII,XIV,,,,,,,,,,47
Fernández Castañón,UP,"Fernández Castañón, Sofía",2,27/11/2019,Confederal de Unidas Podemos-En Comú Podem-Galicia en Común,33,Asturias,Sofía,272,1983-11-01,"['XI', 'XII', 'XIII', 'XIV']",sofia.castanon@congreso.es,www.congreso.es/docu/imgweb/diputados/272_14.jpg,https://twitter.com/SofCastanon,https://www.facebook.com/sofcastanon,,,,XI,XII,XIII,XIV,,,,,,,,,,38
Fernández Hernández,Vox,"Fernández Hernández, Pedro",1,25/11/2019,VOX,50,Zaragoza,Pedro,146,1970-02-11,"['XIII', 'XIV']",pedro.fernandez@congreso.es,www.congreso.es/docu/imgweb/diputados/146_14.jpg,https://twitter.com/pedro_fhz,,,,,,,XIII,XIV,,,,,,,,,,52
Fernández-Lomana Gutiérrez,Vox,"Fernández-Lomana Gutiérrez, Rafael",1,27/11/2019,VOX,2,Albacete,Rafael,294,1965-08-16,['XIV'],,www.congreso.es/docu/imgweb/diputados/294_14.jpg,https://twitter.com/RafaLomana,,,,,,,,XIV,,,,,,,,,,57
Fernández Pérez,NC-CCa-PNC,"Fernández Pérez, María",2,04/07/2022,Mixto,35,Palmas (Las),María,393,1986-10-20,['XIV'],m.fernandez@congreso.es,www.congreso.es/docu/imgweb/diputados/393_14.jpg,https://twitter.com/MariaFdezPerez,,,,,,,,XIV,https://www.instagram.com/mariafdezprez/,,,,,,,,,35
Fernández Ríos,Vox,"Fernández Ríos, Tomás",1,29/11/2019,VOX,21,Huelva,Tomás,330,1969-02-27,['XIV'],,www.congreso.es/docu/imgweb/diputados/330_14.jpg,https://twitter.com/tom_fdez,,,,,,,,XIV,,,,,,,,,,53
Ferrer Tesoro,PSOE,"Ferrer Tesoro, Sonia",2,21/11/2019,Socialista,4,Almería,Sonia,114,1973-02-04,"['XI', 'XII', 'XIII', 'XIV']",soniaft@congreso.es,www.congreso.es/docu/imgweb/diputados/114_14.jpg,https://twitter.com/soniafetesoro,,,,,XI,XII,XIII,XIV,,,,,,,,,,49
Figaredo Álvarez-Sala,Vox,"Figaredo Álvarez-Sala, José María",1,28/11/2019,VOX,33,Asturias,José María,318,1988-09-26,"['XIII', 'XIV']",josemaria.figaredo@congreso.es,www.congreso.es/docu/imgweb/diputados/318_14.jpg,https://twitter.com/FigaredoJose,,,,,,,XIII,XIV,,,,,,,,,,33
Franco Carmona,UP,"Franco Carmona, Isabel",2,28/11/2019,Confederal de Unidas Podemos-En Comú Podem-Galicia en Común,41,Sevilla,Isabel,321,1985-11-27,"['XI', 'XII', 'XIII', 'XIV']",isabel.franco@congreso.es,www.congreso.es/docu/imgweb/diputados/321_14.jpg,https://twitter.com/Isabel_Franco_,https://www.facebook.com/Isabel-Franco-Carmona-172363716445736/,,,,XI,XII,XIII,XIV,,,,,,,,,,36
Fuentes Curbelo,PSOE,"Fuentes Curbelo, Juan Bernardo",1,03/02/2020,Socialista,35,Palmas (Las),Juan Bernardo,359,1962-04-22,"['VIII', 'XIV']",juanbfuentes@congreso.es,www.congreso.es/docu/imgweb/diputados/359_14.jpg,https://twitter.com/Juanb0462,https://www.facebook.com/profile.php?id=1143895734,,,,,,,XIV,,,,,VIII,,,,,60
Gago Bugarín,PP,"Gago Bugarín, Diego",1,21/11/2019,Popular en el Congreso,36,Pontevedra,Diego,121,1987-09-08,"['XIII', 'XIV']",diego.gago@congreso.es,www.congreso.es/docu/imgweb/diputados/121_14.jpg,https://twitter.com/diegogagob,https://www.facebook.com/diego.gagobugarin,,,,,,XIII,XIV,https://www.instagram.com/diegogagob/,,,,,,,,,34
Gamarra Ruiz-Clavijo,PP,"Gamarra Ruiz-Clavijo, Concepción",2,27/11/2019,Popular en el Congreso,26,Rioja (La),Concepción,261,1974-12-23,"['XIII', 'XIV']",cuca.gamarra@congreso.es,www.congreso.es/docu/imgweb/diputados/261_14.jpg,https://twitter.com/cucagamarra,,,,,,,XIII,XIV,https://www.instagram.com/cuca_gamarra,,,,,,,,,47
Gamazo Micó,PP,"Gamazo Micó, Óscar",1,26/11/2019,Popular en el Congreso,46,Valencia/València,Óscar,212,1976-04-17,"['XII', 'XIV']",,www.congreso.es/docu/imgweb/diputados/212_14.jpg,https://twitter.com/oscargamazo,,,,,,XII,,XIV,,,,,,,,,,46
Garcés Sanagustín,PP,"Garcés Sanagustín, Mario",1,26/11/2016,Popular en el Congreso,22,Huesca,Mario,219,1967-04-29,"['XIII', 'XIV']",mario.garces@congreso.es,www.congreso.es/docu/imgweb/diputados/219_14.jpg,https://twitter.com/MarioGarcesSan,https://www.facebook.com/mariogarcessanagustin,,,,,,XIII,XIV,,,,,,,,,,55
García Adanero,NA+,"García Adanero, Carlos",1,21/11/2019,Mixto,31,Navarra,Carlos,127,1967-02-07,"['XIII', 'XIV']",carlos.garcia@congreso.es,www.congreso.es/docu/imgweb/diputados/127_14.jpg,,,,,,,,XIII,XIV,,,,,,,,,,55
García Chavarría,PsdeG-PSOE,"García Chavarría, María Montserrat",2,28/11/2019,Socialista,15,Coruña (A),María Montserrat,304,1968-11-03,"['XIII', 'XIV']",montserrat.garcia@congreso.es,www.congreso.es/docu/imgweb/diputados/304_14.jpg,,https://www.facebook.com/montse.garciachavarria,,,,,,XIII,XIV,,,,,,,,,,53
García Díez,PP,"García Díez, Joaquín María",1,18/11/2019,Popular en el Congreso,27,Lugo,Joaquín María,11,1954-09-16,"['VIII', 'IX', 'X', 'XI', 'XII', 'XIII', 'XIV']",joaquingd@congreso.es,www.congreso.es/docu/imgweb/diputados/11_14.jpg,https://twitter.com/Quin1954,www.facebook.com/JoaquinGarciaDiez,,IX,X,XI,XII,XIII,XIV,http://instagram.com/joaquingarciadiez,,,,VIII,,,,,67
García Egea,PP,"García Egea, Teodoro",1,28/11/2019,Popular en el Congreso,30,Murcia,Teodoro,310,1985-01-27,"['X', 'XI', 'XII', 'XIII', 'XIV']",,www.congreso.es/docu/imgweb/diputados/310_14.jpg,https://twitter.com/teogarciaegea,https://www.facebook.com/teodoro.garciaegea,https://www.teodorogarciaegea.com/,,X,XI,XII,XIII,XIV,,,,,,,,,,37
García Gómez,PSOE,"García Gómez, Valentín",1,26/11/2019,Socialista,6,Badajoz,Valentín,226,1963-02-28,"['XIII', 'XIV']",valentin.garcia@congreso.es,www.congreso.es/docu/imgweb/diputados/226_14.jpg,https://twitter.com/valentingarciag,https://www.facebook.com/valentin.garciagomez.3,,,,,,XIII,XIV,,,,,,,,,,59
García López,PSOE,"García López, Maribel",2,19/11/2019,Socialista,6,Badajoz,Maribel,39,1973-11-26,"['XIII', 'XIV']",maribel.garcia@congreso.es,www.congreso.es/docu/imgweb/diputados/39_14.jpg,https://twitter.com/belitagl,,,,,,,XIII,XIV,,,,,,,,,,48
García Morís,PSOE,"García Morís, Roberto",1,26/11/2019,Socialista,33,Asturias,Roberto,231,1982-02-05,"['XIII', 'XIV']",roberto.moris@congreso.es,www.congreso.es/docu/imgweb/diputados/231_14.jpg,https://twitter.com/MorisSiero,,,,,,,XIII,XIV,,,,,,,,,,40
García Puig,ECP-GUAYEM EL CANVI,"García Puig, María del Mar",2,27/11/2019,Confederal de Unidas Podemos-En Comú Podem-Galicia en Común,8,Barcelona,María del Mar,265,1977-08-28,"['XI', 'XII', 'XIII', 'XIV']",mar.garciapuig@congreso.es,www.congreso.es/docu/imgweb/diputados/265_14.jpg,https://twitter.com/margpuig,,,,,XI,XII,XIII,XIV,,,,,,,,,,44
García Rodríguez,PP,"García Rodríguez, Alicia",2,20/11/2019,Popular en el Congreso,5,Ávila,Alicia,50,1970-01-03,"['XIII', 'XIV']",alicia.garcia@congreso.es,www.congreso.es/docu/imgweb/diputados/50_14.jpg,https://twitter.com/AliciaGarcia_Av,,,,,,,XIII,XIV,,,,,,,,,,52
Garrido Gutiérrez,UP,"Garrido Gutiérrez, Pilar",2,26/11/2019,Confederal de Unidas Podemos-En Comú Podem-Galicia en Común,20,Gipuzkoa,Pilar,210,1966-04-15,"['XIII', 'XIV']",pilar.garrido@congreso.es,www.congreso.es/docu/imgweb/diputados/210_14.jpg,https://twitter.com/gagupilar,,,,,,,XIII,XIV,,,,,,,,,,56
Garzón Espinosa,UP,"Garzón Espinosa, Alberto",1,19/11/2019,Confederal de Unidas Podemos-En Comú Podem-Galicia en Común,29,Málaga,Alberto,12,1985-10-09,"['X', 'XI', 'XII', 'XIII', 'XIV']",alberto.garzon@congreso.es,www.congreso.es/docu/imgweb/diputados/12_14.jpg,https://twitter.com/agarzon,https://www.facebook.com/alberto.garzon.espinosa/,,,X,XI,XII,XIII,XIV,,,,,,,,,,36
Gázquez Collado,PP-FORO,"Gázquez Collado, Paloma",2,27/11/2019,Popular en el Congreso,33,Asturias,Paloma,279,1969-04-27,"['XIII', 'XIV']",paloma.gazquez@congreso.es,www.congreso.es/docu/imgweb/diputados/279_14.jpg,https://twitter.com/PalomaGazquez,https://www.facebook.com/paloma.gazquezcollado,,,,,,XIII,XIV,https://www.instagram.com/palopami/,,,,,https://www.linkedin.com/in/paloma-g%C3%A1zquez-collado-62838542/,,,,53
Gestoso de Miguel,Vox,"Gestoso de Miguel, Luis",1,21/11/2019,VOX,30,Murcia,Luis,131,1962-12-20,['XIV'],luis.gestoso@congreso.es,www.congreso.es/docu/imgweb/diputados/131_14.jpg,https://twitter.com/LuisGestoso,,,,,,,,XIV,,,,,,,,,,59
Gil Lázaro,Vox,"Gil Lázaro, Ignacio",1,27/11/2019,VOX,46,Valencia/València,Ignacio,295,1957-09-23,"['II', 'III', 'V', 'VI', 'VII', 'VIII', 'IX', 'X', 'XIII', 'XIV']",ignacio.gil@congreso.es,www.congreso.es/docu/imgweb/diputados/295_14.jpg,,,,IX,X,,,XIII,XIV,,V,VI,VII,VIII,,,II,III,64
Giménez Giménez,Cs,"Giménez Giménez, Sara",2,25/11/2019,Ciudadanos,28,Madrid,Sara,169,1977-01-19,"['XIII', 'XIV']",sara.gimenez@congreso.es,www.congreso.es/docu/imgweb/diputados/169_14.jpg,https://twitter.com/SaraGimnez,,,,,,,XIII,XIV,,,,,,,,,,45
Gómez Hernández,PSOE,"Gómez Hernández, Héctor",1,21/11/2019,Socialista,38,S/C Tenerife,Héctor,104,1978-11-16,"['XIII', 'XIV']",portavoz.gps@congreso.es,www.congreso.es/docu/imgweb/diputados/104_14.jpg,https://twitter.com/Hectorgomezh,,https://hectorgomezh.wordpress.com/,,,,,XIII,XIV,,,,,,,,,,43
Gómez-Reino Varela,EC-UP,"Gómez-Reino Varela, Antonio",1,25/11/2019,Confederal de Unidas Podemos-En Comú Podem-Galicia en Común,15,Coruña (A),Antonio,176,1980-03-07,"['XI', 'XII', 'XIII', 'XIV']",antongomezreino@congreso.es,www.congreso.es/docu/imgweb/diputados/176_14.jpg,https://twitter.com/AntonGomezReino,https://www.facebook.com/anton.gomezreinovarela,,,,XI,XII,XIII,XIV,,,,,,,,,,42
González Caballero,PSOE,"González Caballero, Miguel Ángel",1,26/11/2019,Socialista,13,Ciudad Real,Miguel Ángel,222,1991-05-06,"['XIII', 'XIV']",miguelangel.gonzalez@congreso.es,www.congreso.es/docu/imgweb/diputados/222_14.jpg,https://twitter.com/Migonzalezcaba,https://www.facebook.com/caballerogonzalezmiguel,,,,,,XIII,XIV,,,,,,,,,,31
González Coello de Portugal,Vox,"González Coello de Portugal, Víctor",1,20/11/2019,VOX,37,Salamanca,Víctor,76,1975-09-05,['XIV'],vg@congreso.es,www.congreso.es/docu/imgweb/diputados/76_14.jpg,https://twitter.com/vicpiedra,,,,,,,,XIV,,,,,,,,,,46
González Guinda,PP,"González Guinda, María del Carmen",2,27/11/2019,Popular en el Congreso,24,León,María del Carmen,288,1961-01-28,"['XI', 'XII', 'XIII', 'XIV']",carmen.gonzalez@congreso.es,www.congreso.es/docu/imgweb/diputados/288_14.jpg,https://twitter.com/CarmenGGuinda,,,,,XI,XII,XIII,XIV,,,,,,,,,,61
González Laso,PsdeG-PSOE,"González Laso, Natividad",2,08/09/2021,Socialista,15,Coruña (A),Natividad,386,1953-12-24,['XIV'],natividad.gonzalez@congreso.es,www.congreso.es/docu/imgweb/diputados/386_14.jpg,,,,,,,,,XIV,,,,,,,,,,68
González Muñoz,PP,"González Muñoz, Ángel Luis",1,26/04/2022,Popular en el Congreso,29,Málaga,Ángel Luis,391,1979-03-09,"['IX', 'X', 'XI', 'XII', 'XIV']",angel.gonzalez@congreso.es,www.congreso.es/docu/imgweb/diputados/391_14.jpg,,,,IX,X,XI,XII,,XIV,,,,,,,,,,43
González Pérez,PSOE,"González Pérez, Ariagona",2,25/11/2019,Socialista,35,Palmas (Las),Ariagona,164,1978-10-15,"['XIII', 'XIV']",ariagona.gonzalez@congreso.es,www.congreso.es/docu/imgweb/diputados/164_14.jpg,https://twitter.com/ariagonagp,https://www.facebook.com/AriagonaGP/,,,,,,XIII,XIV,,,,,,,,,,43
González Terol,PP,"González Terol, Antonio",1,25/11/2019,Popular en el Congreso,28,Madrid,Antonio,166,1976-08-23,"['XI', 'XII', 'XIII', 'XIV']",antonio.terol@congreso.es,www.congreso.es/docu/imgweb/diputados/166_14.jpg,https://twitter.com/Aglezterol,https://www.facebook.com/aglezterol/,,,,XI,XII,XIII,XIV,,,,,,,,,,45
González Vázquez,PP,"González Vázquez, Marta",2,26/11/2019,Popular en el Congreso,15,Coruña (A),Marta,237,1965-01-25,"['X', 'XI', 'XII', 'XIII', 'XIV']",marta.gonzalez@congreso.es,www.congreso.es/docu/imgweb/diputados/237_14.jpg,https://twitter.com/martaglezvzqz,,,,X,XI,XII,XIII,XIV,,,,,,,,,,57
Gorospe Elezcano,EAJ-PNV,"Gorospe Elezcano, Josune",2,21/11/2019,Vasco (EAJ-PNV),48,Bizkaia,Josune,96,1969-04-16,"['XIII', 'XIV']",,www.congreso.es/docu/imgweb/diputados/96_14.jpg,,,,,,,,XIII,XIV,,,,,,,,,,53
Granollers Cunillera,ERC-S,"Granollers Cunillera, Inés",2,26/11/2019,Republicano,25,Lleida,Inés,183,1970-09-17,"['XIII', 'XIV']",ines.granollers@congreso.es,www.congreso.es/docu/imgweb/diputados/183_14.jpg,https://twitter.com/InesGranollers,https://www.facebook.com/ines.granollers,,,,,,XIII,XIV,,,,,,,,,,51
Guaita Esteruelas,PSC-PSOE,"Guaita Esteruelas, Sandra",2,26/11/2019,Socialista,43,Tarragona,Sandra,208,1976-07-23,['XIV'],sandra.guaita@congreso.es,www.congreso.es/docu/imgweb/diputados/208_14.jpg,,,,,,,,,XIV,,,,,,,,,,46
Guerra López,PSC-PSOE,"Guerra López, Sonia",2,03/02/2020,Socialista,8,Barcelona,Sonia,357,1977-01-09,"['XIII', 'XIV']",sonia.guerra@congreso.es,www.congreso.es/docu/imgweb/diputados/357_14.jpg,https://twitter.com/SonyaGuerraLpz,https://www.facebook.com/soniguerra,,,,,,XIII,XIV,https://www.instagram.com/sonyaguerralpz,,,,,,,,,45
Guijarro Ceballos,PSE-EE-PSOE,"Guijarro Ceballos, María",2,22/11/2019,Socialista,48,Bizkaia,María,136,1971-11-13,"['XIII', 'XIV']",maria.guijarro@congreso.es,www.congreso.es/docu/imgweb/diputados/136_14.jpg,https://twitter.com/Maritxu30,,,,,,,XIII,XIV,,,,,,,,,,50
Guijarro García,UP,"Guijarro García, Txema",1,29/11/2019,Confederal de Unidas Podemos-En Comú Podem-Galicia en Común,3,Alicante/Alacant,Txema,344,1975-04-15,"['XI', 'XII', 'XIII', 'XIV']",txema.guijarro@congreso.es,www.congreso.es/docu/imgweb/diputados/344_14.jpg,https://twitter.com/TxemaGuijarro,,,,,XI,XII,XIII,XIV,https://www.instagram.com/txemaguijarro/,,,,,,,,,47
Guinart Moreno,PSC-PSOE,"Guinart Moreno, Lídia",2,26/11/2019,Socialista,8,Barcelona,Lídia,202,1966-12-30,"['XI', 'XII', 'XIII', 'XIV']",lidiaguinart@congreso.es,www.congreso.es/docu/imgweb/diputados/202_14.jpg,https://twitter.com/lidiaguinart,,,,,XI,XII,XIII,XIV,,,,,,,,,,55
Guitarte Gimeno,¡Teruel Existe!,"Guitarte Gimeno, Tomás",1,28/11/2019,Mixto,44,Teruel,Tomás,306,1961-03-07,['XIV'],tomas.guitarte@congreso.es,www.congreso.es/docu/imgweb/diputados/306_14.jpg,,,,,,,,,XIV,,,,,,,,,,61
