,District,Name,Party,Office Room,Phone,Committee Assignment,State
3,4th,"Smith, Chris",R,2373 RHOB,(202) 225-3765,Foreign Affairs,New Jersey
4,5th,"Gottheimer, Josh",D,203 CHOB,(202) 225-4465,Financial ServicesHomeland Security,New Jersey
5,6th,"Pallone Jr., Frank",D,2107 RHOB,(202) 225-4671,Energy and Commerce,New Jersey
6,7th,"Malinowski, Tom",D,1318 LHOB,(202) 225-5361,Foreign AffairsHomeland SecurityTransportation and Infrastructure,New Jersey
7,8th,"Sires, Albio",D,2268 RHOB,(202) 225-7919,BudgetForeign AffairsTransportation and Infrastructure,New Jersey
8,9th,"Pascrell Jr., Bill",D,2409 RHOB,(202) 225-5751,Ways and Means,New Jersey
9,10th,"Payne Jr., Donald",D,106 CHOB,(202) 225-3436,Homeland SecurityTransportation and Infrastructure,New Jersey
10,11th,"Sherrill, Mikie",D,1414 LHOB,(202) 225-5034,"Armed ServicesEducation and LaborScience, Space, and Technology",New Jersey
11,12th,"Watson Coleman, Bonnie",D,168 CHOB,(202) 225-5801,AppropriationsHomeland Security,New Jersey
0,1st,"Stansbury, Melanie Ann",D,1421 LHOB,(202) 225-6316,"Natural ResourcesScience, Space, and Technology",New Mexico
1,2nd,"Herrell, Yvette",R,1305 LHOB,(202) 225-2365,Oversight and ReformNatural Resources,New Mexico
2,3rd,"Leger Fernandez, Teresa",D,1432 LHOB,(202) 225-6190,Education and LaborHouse AdministrationNatural Resources,New Mexico
0,1st,"Zeldin, Lee",R,2441 RHOB,(202) 225-3826,Financial ServicesForeign Affairs,New York
1,2nd,"Garbarino, Andrew R.",R,1516 LHOB,(202) 225-7896,Homeland SecuritySmall Business,New York
2,3rd,"Suozzi, Thomas",D,407 CHOB,(202) 225-3335,Ways and Means,New York
3,4th,"Rice, Kathleen",D,2435 RHOB,(202) 225-5516,Homeland SecurityEnergy and Commerce,New York
4,5th,"Meeks, Gregory W.",D,2310 RHOB,(202) 225-3461,Financial ServicesForeign Affairs,New York
5,6th,"Meng, Grace",D,2209 RHOB,(202) 225-2601,Appropriations,New York
6,7th,"Velázquez, Nydia M.",D,2302 RHOB,(202) 225-2361,Financial ServicesNatural ResourcesSmall BusinessSelect Subcommittee on the Coronavirus Crisis,New York
7,8th,"Jeffries, Hakeem",D,2433 RHOB,(202) 225-5936,BudgetJudiciary,New York
8,9th,"Clarke, Yvette D.",D,2058 RHOB,(202) 225-6231,Homeland SecurityEnergy and Commerce,New York
9,10th,"Nadler, Jerrold",D,2132 RHOB,(202) 225-5635,Judiciary,New York
10,11th,"Malliotakis, Nicole",R,417 CHOB,(202) 225-3371,Foreign AffairsTransportation and InfrastructureSelect Subcommittee on the Coronavirus Crisis,New York
11,12th,"Maloney, Carolyn",D,2308 RHOB,(202) 225-7944,Financial ServicesOversight and ReformSelect Subcommittee on the Coronavirus Crisis,New York
12,13th,"Espaillat, Adriano",D,2332 RHOB,(202) 225-4365,AppropriationsEducation and Labor,New York
13,14th,"Ocasio-Cortez, Alexandria",D,216 CHOB,(202) 225-3965,Financial ServicesSelect Committee Economic Disparity and Fairness in GrowthOversight and Reform,New York
14,15th,"Torres, Ritchie",D,317 CHOB,(202) 225-4361,Financial ServicesHomeland Security,New York
15,16th,"Bowman, Jamaal",D,1605 LHOB,(202) 225-2464,"Education and LaborScience, Space, and Technology",New York
16,17th,"Jones, Mondaire",D,1017 LHOB,(202) 225-6506,Education and LaborJudiciaryEthics,New York
17,18th,"Maloney, Sean Patrick",D,464 CHOB,(202) 225-5441,AgricultureIntelligenceTransportation and Infrastructure,New York
18,19th,"Delgado, Antonio- Vacancy",D,1007 LHOB,(202) 225-5614,,New York
19,20th,"Tonko, Paul D.",D,2369 RHOB,(202) 225-5076,"Energy and CommerceNatural ResourcesScience, Space, and Technology",New York
20,21st,"Stefanik, Elise",R,2211 RHOB,(202) 225-4611,Armed ServicesEducation and LaborIntelligence,New York
21,22nd,"Tenney, Claudia",R,1410 LHOB,(202) 225-3665,Foreign AffairsSmall Business,New York
22,23rd,"Reed, Tom- Vacancy",R,1203 LHOB,(202) 225-3161,,New York
23,24th,"Katko, John",R,2428 RHOB,(202) 225-3701,Homeland SecurityTransportation and Infrastructure,New York
24,25th,"Morelle, Joseph",D,1317 LHOB,(202) 225-3615,Armed ServicesBudgetEducation and LaborRules,New York
25,26th,"Higgins, Brian",D,2459 RHOB,(202) 225-3306,BudgetWays and Means,New York
26,27th,"Jacobs, Chris",R,214 CHOB,(202) 225-5265,AgricultureBudgetEducation and Labor,New York
0,1st,"Butterfield, G.K.",D,2080 RHOB,(202) 225-3101,House AdministrationEnergy and CommerceJoint Committee of Congress on the Library,North Carolina
1,2nd,"Ross, Deborah K.",D,1208 LHOB,(202) 225-3032,"JudiciaryRulesScience, Space, and Technology",North Carolina
2,3rd,"Murphy, Gregory Francis",R,313 CHOB,(202) 225-3415,Ways and Means,North Carolina
3,4th,"Price, David",D,2108 RHOB,(202) 225-1784,AppropriationsBudget,North Carolina
4,5th,"Foxx, Virginia",R,2462 RHOB,(202) 225-2071,Education and LaborOversight and Reform,North Carolina
5,6th,"Manning, Kathy E.",D,415 CHOB,(202) 225-3065,Education and LaborForeign Affairs,North Carolina
6,7th,"Rouzer, David",R,2333 RHOB,(202) 225-2731,AgricultureTransportation and Infrastructure,North Carolina
7,8th,"Hudson, Richard",R,2112 RHOB,(202) 225-3715,Energy and Commerce,North Carolina
8,9th,"Bishop, Dan",R,1207 LHOB,(202) 225-1976,Homeland SecurityJudiciary,North Carolina
9,10th,"McHenry, Patrick T.",R,2004 RHOB,(202) 225-2576,Financial Services,North Carolina
10,11th,"Cawthorn, Madison",R,102 CHOB,(202) 225-6401,Education and LaborVeterans' Affairs,North Carolina
11,12th,"Adams, Alma",D,2436 RHOB,(202) 225-1510,AgricultureFinancial ServicesEducation and Labor,North Carolina
12,13th,"Budd, Ted",R,103 CHOB,(202) 225-4531,Financial Services,North Carolina
0,At Large,"Armstrong, Kelly",R,1740 LHOB,(202) 225-2611,Climate CrisisEnergy and CommerceEthics,North Dakota
0,Delegate,"Sablan, Gregorio",D,2267 RHOB,(202) 225-2646,AgricultureEducation and LaborNatural ResourcesVeterans' Affairs,Northern Mariana Islands
0,1st,"Chabot, Steve",R,2408 RHOB,(202) 225-2216,Foreign AffairsJudiciary,Ohio
1,2nd,"Wenstrup, Brad",R,2419 RHOB,(202) 225-3164,IntelligenceWays and Means,Ohio
2,3rd,"Beatty, Joyce",D,2303 RHOB,(202) 225-4324,Financial Services,Ohio
3,4th,"Jordan, Jim",R,2056 RHOB,(202) 225-2676,Oversight and ReformJudiciarySelect Subcommittee on the Coronavirus Crisis,Ohio
4,5th,"Latta, Robert E.",R,2467 RHOB,(202) 225-6405,Energy and CommerceModernization of Congress,Ohio
5,6th,"Johnson, Bill",R,2336 RHOB,(202) 225-5705,Energy and Commerce,Ohio
6,7th,"Gibbs, Bob",R,2217 RHOB,(202) 225-6265,Oversight and ReformTransportation and Infrastructure,Ohio
7,8th,"Davidson, Warren",R,2113 RHOB,(202) 225-6205,Financial ServicesSelect Committee Economic Disparity and Fairness in Growth,Ohio
8,9th,"Kaptur, Marcy",D,2186 RHOB,(202) 225-4146,AgricultureAppropriationsSelect Committee Economic Disparity and Fairness in GrowthVeterans' Affairs,Ohio
9,10th,"Turner, Michael",R,2082 RHOB,(202) 225-6465,Armed ServicesIntelligence,Ohio
10,11th,"Brown, Shontel M.",D,2344 RHOB,(202) 225-7032,AgricultureOversight and Reform,Ohio
11,12th,"Balderson, Troy",R,2429 RHOB,(202) 225-5355,AgricultureTransportation and Infrastructure,Ohio
12,13th,"Ryan, Tim",D,1126 LHOB,(202) 225-5261,AppropriationsJoint Committee of Congress on the Library,Ohio
13,14th,"Joyce, David",R,2065 RHOB,(202) 225-5731,AppropriationsModernization of CongressEthics,Ohio
14,15th,"Carey, Mike",R,2234 RHOB,(202) 225-2015,"BudgetScience, Space, and Technology",Ohio
15,16th,"Gonzalez, Anthony",R,2458 RHOB,(202) 225-3876,"Financial ServicesClimate CrisisScience, Space, and Technology",Ohio
0,1st,"Hern, Kevin",R,1019 LHOB,(202) 225-2211,Ways and Means,Oklahoma
1,2nd,"Mullin, Markwayne",R,2421 RHOB,(202) 225-2701,Energy and CommerceIntelligence,Oklahoma
2,3rd,"Lucas, Frank",R,2405 RHOB,(202) 225-5565,"Financial ServicesScience, Space, and Technology",Oklahoma
3,4th,"Cole, Tom",R,2207 RHOB,(202) 225-6165,AppropriationsRules,Oklahoma
4,5th,"Bice, Stephanie I.",R,1223 LHOB,(202) 225-2132,"Armed ServicesSelect Committee Economic Disparity and Fairness in GrowthScience, Space, and Technology",Oklahoma
0,1st,"Bonamici, Suzanne",D,2231 RHOB,(202) 225-0855,"Climate CrisisEducation and LaborScience, Space, and Technology",Oregon
1,2nd,"Bentz, Cliff",R,1239 LHOB,(202) 225-6730,Natural ResourcesJudiciary,Oregon
2,3rd,"Blumenauer, Earl",D,1111 LHOB,(202) 225-4811,Ways and Means,Oregon
3,4th,"DeFazio, Peter",D,2134 RHOB,(202) 225-6416,Transportation and Infrastructure,Oregon
4,5th,"Schrader, Kurt",D,2431 RHOB,(202) 225-5711,Energy and Commerce,Oregon
0,1st,"Fitzpatrick, Brian",R,271 CHOB,(202) 225-4276,Foreign AffairsIntelligenceTransportation and Infrastructure,Pennsylvania
1,2nd,"Boyle, Brendan",D,1133 LHOB,(202) 225-6111,BudgetWays and Means,Pennsylvania
2,3rd,"Evans, Dwight",D,1105 LHOB,(202) 225-4001,Small BusinessWays and Means,Pennsylvania
3,4th,"Dean, Madeleine",D,120 CHOB,(202) 225-4731,Financial ServicesJudiciary,Pennsylvania
4,5th,"Scanlon, Mary Gay",D,1227 LHOB,(202) 225-2011,House AdministrationJudiciaryRules,Pennsylvania
5,6th,"Houlahan, Chrissy",D,1218 LHOB,(202) 225-4315,Armed ServicesForeign AffairsSmall Business,Pennsylvania
6,7th,"Wild, Susan",D,1027 LHOB,(202) 225-6411,"Education and LaborForeign AffairsEthicsScience, Space, and Technology",Pennsylvania
7,8th,"Cartwright, Matt",D,2102 RHOB,(202) 225-5546,Appropriations,Pennsylvania
8,9th,"Meuser, Daniel",R,414 CHOB,(202) 225-6511,Foreign AffairsSmall Business,Pennsylvania
9,10th,"Perry, Scott",R,2160 RHOB,(202) 225-5836,Foreign AffairsTransportation and Infrastructure,Pennsylvania
10,11th,"Smucker, Lloyd",R,302 CHOB,(202) 225-2411,BudgetWays and Means,Pennsylvania
11,12th,"Keller, Fred",R,1717 LHOB,(202) 225-3731,Education and LaborOversight and Reform,Pennsylvania
12,13th,"Joyce, John",R,1221 LHOB,(202) 225-2431,Energy and Commerce,Pennsylvania
13,14th,"Reschenthaler, Guy",R,409 CHOB,(202) 225-2065,AppropriationsModernization of CongressRules,Pennsylvania
14,15th,"Thompson, Glenn",R,400 CHOB,(202) 225-5121,AgricultureEducation and Labor,Pennsylvania
15,16th,"Kelly, Mike",R,1707 LHOB,(202) 225-5406,Ways and Means,Pennsylvania
16,17th,"Lamb, Conor",D,1224 LHOB,(202) 225-2301,"Transportation and InfrastructureScience, Space, and TechnologyVeterans' Affairs",Pennsylvania
17,18th,"Doyle,  Michael",D,270 CHOB,(202) 225-2135,Energy and Commerce,Pennsylvania
0,Resident Commissioner,"González-Colón,  Jenniffer",R,2338 RHOB,(202) 225-2615,Natural ResourcesTransportation and Infrastructure,Puerto Rico
0,1st,"Cicilline, David",D,2233 RHOB,(202) 225-4911,Foreign AffairsJudiciary,Rhode Island
1,2nd,"Langevin, Jim",D,2077 RHOB,(202) 225-2735,Armed ServicesHomeland Security,Rhode Island
0,1st,"Mace, Nancy",R,212 CHOB,(202) 225-3176,Oversight and ReformTransportation and InfrastructureVeterans' Affairs,South Carolina
1,2nd,"Wilson, Joe",R,1436 LHOB,(202) 225-2452,Armed ServicesEducation and LaborForeign Affairs,South Carolina
2,3rd,"Duncan, Jeff",R,2229 RHOB,(202) 225-5301,Energy and Commerce,South Carolina
3,4th,"Timmons, William",R,267 CHOB,(202) 225-6030,Financial ServicesModernization of Congress,South Carolina
4,5th,"Norman, Ralph",R,569 CHOB,(202) 225-5501,Financial ServicesOversight and Reform,South Carolina
5,6th,"Clyburn, James E.",D,274 CHOB,(202) 225-3315,Select Subcommittee on the Coronavirus Crisis,South Carolina
6,7th,"Rice, Tom",R,460 CHOB,(202) 225-9895,Ways and Means,South Carolina
0,At Large,"Johnson, Dusty",R,1714 LHOB,(202) 225-2801,AgricultureTransportation and Infrastructure,South Dakota
0,1st,"Harshbarger, Diana",R,167 CHOB,(202) 225-6356,Education and LaborHomeland Security,Tennessee
1,2nd,"Burchett, Tim",R,1122 LHOB,(202) 225-5435,Foreign AffairsTransportation and Infrastructure,Tennessee
2,3rd,"Fleischmann, Chuck",R,462 CHOB,(202) 225-3271,Appropriations,Tennessee
3,4th,"DesJarlais, Scott",R,2304 RHOB,(202) 225-6831,AgricultureArmed Services,Tennessee
4,5th,"Cooper, Jim",D,1536 LHOB,(202) 225-4311,Armed ServicesBudgetOversight and ReformIntelligence,Tennessee
5,6th,"Rose, John W.",R,1124 LHOB,(202) 225-4231,Financial Services,Tennessee
6,7th,"Green, Mark",R,2446 RHOB,(202) 225-2811,Armed ServicesForeign AffairsSelect Subcommittee on the Coronavirus Crisis,Tennessee
7,8th,"Kustoff, David",R,560 CHOB,(202) 225-4714,Ways and Means,Tennessee
8,9th,"Cohen, Steve",D,2104 RHOB,(202) 225-3265,Natural ResourcesJudiciaryTransportation and Infrastructure,Tennessee
0,1st,"Gohmert, Louie",R,2269 RHOB,(202) 225-3035,Natural ResourcesJudiciary,Texas
1,2nd,"Crenshaw, Dan",R,413 CHOB,(202) 225-6565,Climate CrisisEnergy and Commerce,Texas
2,3rd,"Taylor, Van",R,1404 LHOB,(202) 225-4201,Financial Services,Texas
3,4th,"Fallon, Pat",R,1118 LHOB,(202) 225-6673,Armed ServicesOversight and Reform,Texas
4,5th,"Gooden, Lance",R,1722 LHOB,(202) 225-3484,Financial Services,Texas
5,6th,"Ellzey, Jake",R,1725 LHOB,(202) 225-2002,"Science, Space, and TechnologyVeterans' Affairs",Texas
6,7th,"Fletcher, Lizzie",D,119 CHOB,(202) 225-2571,"Energy and CommerceScience, Space, and Technology",Texas
7,8th,"Brady, Kevin",R,1011 LHOB,(202) 225-4901,Joint Committee on TaxationWays and Means,Texas
8,9th,"Green, Al",D,2347 RHOB,(202) 225-7508,Financial ServicesHomeland Security,Texas
9,10th,"McCaul, Michael T.",R,2001 RHOB,(202) 225-2401,Foreign AffairsHomeland Security,Texas
10,11th,"Pfluger, August",R,1531 LHOB,(202) 225-3605,Foreign AffairsHomeland Security,Texas
11,12th,"Granger, Kay",R,1026 LHOB,(202) 225-5071,Appropriations,Texas
12,13th,"Jackson, Ronny",R,118 CHOB,(202) 225-3706,Armed ServicesForeign Affairs,Texas
13,14th,"Weber, Randy",R,107 CHOB,(202) 225-2831,"Transportation and InfrastructureScience, Space, and Technology",Texas
14,15th,"Gonzalez, Vicente",D,113 CHOB,(202) 225-2531,Financial ServicesSelect Committee Economic Disparity and Fairness in GrowthForeign Affairs,Texas
15,16th,"Escobar, Veronica",D,1505 LHOB,(202) 225-4831,Armed ServicesClimate CrisisJudiciaryEthics,Texas
16,17th,"Sessions, Pete",R,2204 RHOB,(202) 225-6105,Financial ServicesOversight and Reform,Texas
17,18th,"Jackson Lee, Sheila",D,2426 RHOB,(202) 225-3816,BudgetHomeland SecurityJudiciary,Texas
18,19th,"Arrington, Jodey",R,1107 LHOB,(202) 225-4005,Select Committee Economic Disparity and Fairness in GrowthWays and Means,Texas
19,20th,"Castro, Joaquin",D,2241 RHOB,(202) 225-3236,Education and LaborForeign AffairsIntelligence,Texas
20,21st,"Roy, Chip",R,1005 LHOB,(202) 225-4236,JudiciaryVeterans' Affairs,Texas
21,22nd,"Nehls, Troy E.",R,1104 LHOB,(202) 225-5951,Transportation and InfrastructureVeterans' Affairs,Texas
22,23rd,"Gonzales, Tony",R,1009 LHOB,(202) 225-4511,Appropriations,Texas
23,24th,"Van Duyne, Beth",R,1337 LHOB,(202) 225-6605,Modernization of CongressTransportation and InfrastructureSmall Business,Texas
24,25th,"Williams, Roger",R,1708 LHOB,(202) 225-9896,Financial ServicesSmall Business,Texas
25,26th,"Burgess, Michael",R,2161 RHOB,(202) 225-7772,BudgetEnergy and CommerceRules,Texas
26,27th,"Cloud, Michael",R,512 CHOB,(202) 225-7742,AgricultureOversight and Reform,Texas
27,28th,"Cuellar, Henry",D,2372 RHOB,(202) 225-1640,Appropriations,Texas
28,29th,"Garcia, Sylvia",D,1620 LHOB,(202) 225-1688,Armed ServicesFinancial ServicesJudiciary,Texas
29,30th,"Johnson, Eddie Bernice",D,2306 RHOB,(202) 225-8885,"Transportation and InfrastructureScience, Space, and Technology",Texas
30,31st,"Carter, John",R,2208 RHOB,(202) 225-3864,Appropriations,Texas
31,32nd,"Allred, Colin",D,114 CHOB,(202) 225-2231,Foreign AffairsTransportation and InfrastructureVeterans' Affairs,Texas
32,33rd,"Veasey, Marc",D,2348 RHOB,(202) 225-9897,Armed ServicesEnergy and Commerce,Texas
33,34th,"Vela, Filemon- Vacancy",D,307 CHOB,(202) 225-9901,,Texas
34,35th,"Doggett, Lloyd",D,2307 RHOB,(202) 225-4865,BudgetJoint Committee on TaxationWays and Means,Texas
35,36th,"Babin, Brian",R,2236 RHOB,(202) 225-1555,"Transportation and InfrastructureScience, Space, and Technology",Texas
0,1st,"Moore, Blake D.",R,1320 LHOB,(202) 225-0453,Armed ServicesNatural Resources,Utah
1,2nd,"Stewart, Chris",R,166 CHOB,(202) 225-9730,AppropriationsIntelligence,Utah
2,3rd,"Curtis, John R.",R,2400 RHOB,(202) 225-7751,Energy and Commerce,Utah
3,4th,"Owens, Burgess",R,1039 LHOB,(202) 225-3011,Education and LaborJudiciary,Utah
0,At Large,"Welch, Peter",D,2187 RHOB,(202) 225-4115,Oversight and ReformEnergy and CommerceIntelligence,Vermont
0,1st,"Wittman, Robert J.",R,2055 RHOB,(202) 225-4261,Armed ServicesNatural Resources,Virginia
1,2nd,"Luria, Elaine",D,412 CHOB,(202) 225-4215,Armed ServicesHomeland SecuritySelect Committee to Investigate the January 6th AttackVeterans' Affairs,Virginia
2,3rd,"Scott, Robert C.",D,2328 RHOB,(202) 225-8351,BudgetEducation and Labor,Virginia
3,4th,"McEachin, A. Donald",D,314 CHOB,(202) 225-6365,Climate CrisisEnergy and CommerceNatural Resources,Virginia
4,5th,"Good, Bob",R,1213 LHOB,(202) 225-4711,BudgetEducation and Labor,Virginia
5,6th,"Cline, Ben",R,2443 RHOB,(202) 225-5431,AppropriationsBudget,Virginia
6,7th,"Spanberger, Abigail",D,1431 LHOB,(202) 225-2815,AgricultureForeign Affairs,Virginia
7,8th,"Beyer, Don",D,1119 LHOB,(202) 225-4376,"Science, Space, and TechnologyWays and Means",Virginia
8,9th,"Griffith, Morgan",R,2202 RHOB,(202) 225-3861,Energy and Commerce,Virginia
9,10th,"Wexton, Jennifer",D,1217 LHOB,(202) 225-5136,AppropriationsBudget,Virginia
10,11th,"Connolly, Gerald E. ""Gerry""",D,2238 RHOB,(202) 225-1492,Foreign AffairsOversight and Reform,Virginia
0,Delegate,"Plaskett, Stacey",D,2404 RHOB,(202) 225-1790,AgricultureBudgetWays and Means,Virgin Islands
0,1st,"DelBene, Suzan",D,2330 RHOB,(202) 225-6311,Ways and Means,Washington
1,2nd,"Larsen, Rick",D,2163 RHOB,(202) 225-2605,Armed ServicesTransportation and Infrastructure,Washington
2,3rd,"Herrera Beutler, Jaime",R,2352 RHOB,(202) 225-3536,Appropriations,Washington
3,4th,"Newhouse, Dan",R,504 CHOB,(202) 225-5816,Appropriations,Washington
4,5th,"Rodgers, Cathy McMorris",R,1035 LHOB,(202) 225-2006,Energy and Commerce,Washington
5,6th,"Kilmer, Derek",D,2059 RHOB,(202) 225-5916,AppropriationsModernization of Congress,Washington
6,7th,"Jayapal, Pramila",D,2346 RHOB,(202) 225-3106,BudgetEducation and LaborSelect Committee Economic Disparity and Fairness in GrowthJudiciary,Washington
7,8th,"Schrier, Kim",D,1123 LHOB,(202) 225-7761,AgricultureEnergy and Commerce,Washington
8,9th,"Smith, Adam",D,2264 RHOB,(202) 225-8901,Armed Services,Washington
9,10th,"Strickland, Marilyn",D,1004 LHOB,(202) 225-9740,Armed ServicesTransportation and Infrastructure,Washington
0,1st,"McKinley, David",R,2239 RHOB,(202) 225-4172,Energy and Commerce,West Virginia
1,2nd,"Mooney, Alex",R,2228 RHOB,(202) 225-2711,Financial Services,West Virginia
2,3rd,"Miller, Carol",R,465 CHOB,(202) 225-3452,Climate CrisisWays and Means,West Virginia
0,1st,"Steil, Bryan",R,1526 LHOB,(202) 225-3031,Financial ServicesSelect Committee Economic Disparity and Fairness in GrowthHouse Administration,Wisconsin
1,2nd,"Pocan, Mark",D,1727 LHOB,(202) 225-2906,AppropriationsEducation and Labor,Wisconsin
2,3rd,"Kind, Ron",D,1502 LHOB,(202) 225-5506,Ways and Means,Wisconsin
3,4th,"Moore, Gwen",D,2252 RHOB,(202) 225-4572,"Select Committee Economic Disparity and Fairness in GrowthScience, Space, and TechnologyWays and Means",Wisconsin
4,5th,"Fitzgerald, Scott",R,1507 LHOB,(202) 225-5101,Education and LaborJudiciarySmall Business,Wisconsin
5,6th,"Grothman, Glenn",R,1427 LHOB,(202) 225-2476,BudgetEducation and LaborOversight and Reform,Wisconsin
6,7th,"Tiffany, Thomas P.",R,1719 LHOB,(202) 225-3365,Natural ResourcesJudiciary,Wisconsin
7,8th,"Gallagher, Mike",R,1230 LHOB,(202) 225-5665,Armed ServicesIntelligenceTransportation and Infrastructure,Wisconsin
0,At Large,"Cheney, Liz",R,416 CHOB,(202) 225-2311,Armed ServicesSelect Committee to Investigate the January 6th Attack,Wyoming
